,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3175842,-722521,-3249947,-750022,-584757,-2014176,-1966573,-7270994,0
1,-3216067,-3032847,-3302629,-2727980,-3224597,-2348744,-2594099,-7310215,0
2,-3266175,-6314740,-3434739,-5922136,-6525868,-4025855,-4399023,-7312011,0
3,-3233522,-5380469,-3442097,-5491894,-5073366,-4710320,-4657166,-7255036,0
4,-3176139,-1402350,-3312915,-1811421,-833828,-3249864,-2920409,-7237656,0
5,-3180078,-510104,-3256659,-588701,-346127,-2105534,-2013457,-7275712,0
6,-3221127,-2805071,-3303074,-2505370,-2990908,-2302024,-2527349,-7318954,0
7,-3269337,-6180082,-3433419,-5782038,-6398158,-3943989,-4323109,-7317966,0
8,-3236771,-5279188,-3441199,-5393441,-4959887,-4631448,-4590009,-7260911,0
9,-3178787,-1180212,-3311131,-1573888,-641380,-3165138,-2846942,-7242895,0
10,-3180939,-339112,-3254602,-296821,-249496,-2032816,-1954842,-7277954,0
11,-3269201,-6177397,-3432681,-5777627,-6396376,-3916579,-4303688,-7318090,0
12,-3238117,-5253431,-3441163,-5373980,-4918632,-4608824,-4570042,-7263257,0
13,-3180446,-1057620,-3309994,-1449190,-514732,-3125072,-2806249,-7246336,0
14,-3182597,-132012,-3252147,-59482,-69807,-1970974,-1893189,-7282070,0
15,-3221913,-2649868,-3297665,-2322559,-2842010,-2177144,-2417862,-7322884,0
16,-3269165,-6133992,-3429011,-5727528,-6359939,-3851632,-4247561,-7319810,0
17,-3237549,-5275432,-3439379,-5391160,-4942908,-4584032,-4554175,-7263074,0
18,-3180132,-1048195,-3308566,-1440628,-507156,-3112377,-2794162,-7246578,0
19,-3182416,-61498,-3249867,7817,-7707,-1946501,-1866196,-7282991,0
20,-3221535,-2592161,-3294693,-2262162,-2785131,-2142797,-2382164,-7323803,0
21,-3268330,-6125009,-3426409,-5713162,-6355761,-3825052,-4224104,-7319746,0
22,-3236639,-5319431,-3438606,-5431140,-4994245,-4589575,-4563417,-7261916,0
23,-3180496,-1045380,-3307978,-1435317,-527511,-3116897,-2792137,-7247701,0
24,-3184772,158225,-3246547,201478,189399,-1892021,-1800099,-7289035,0
25,-3223759,-2351122,-3288069,-2016665,-2551738,-2030075,-2266488,-7331165,0
26,-3267359,-6057219,-3419416,-5630536,-6303647,-3724790,-4139201,-7321506,0
27,-3233477,-5436866,-3436133,-5529874,-5136286,-4584716,-4578831,-7257504,0
28,-3178514,-1169048,-3307916,-1560214,-664357,-3159660,-2834502,-7244464,0
29,-3183777,152349,-3245477,183810,192762,-1915977,-1813521,-7287997,0
30,-3222792,-2325627,-3285848,-1993015,-2523998,-2030748,-2258927,-7330701,0
31,-3232581,-5484509,-3435594,-5574002,-5187723,-4605519,-4600759,-7256347,0
32,-3177591,-1191401,-3307193,-1583351,-689276,-3179956,-2850074,-7243371,0
33,-3182822,167554,-3243715,197392,206708,-1918957,-1811971,-7287321,0
34,-3222000,-2305147,-3283832,-1970850,-2504652,-2025565,-2251720,-7330367,0
