,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3556829,-3890135,-4999067,-4187119,-3093366,-6215907,-5883372,-8137110,0
1,-3548352,359358,-4842782,255576,608350,-4053020,-3849883,-8191160,0
2,-3561727,-1488165,-4825361,-1238836,-1788229,-3169863,-3361118,-8208666,0
3,-3592897,-7435566,-5008106,-7192002,-7743046,-4932437,-5408743,-8152225,0
4,-3588295,-8388608,-5137594,-8388608,-8347325,-7137305,-7264541,-8097583,0
5,-3557257,-3872174,-4999036,-4169504,-3075158,-6211077,-5877804,-8137576,0
6,-3548854,364983,-4842975,262339,610932,-4048413,-3846417,-8191596,0
7,-3562270,-1503228,-4826062,-1252677,-1805541,-3171176,-3363171,-8208902,0
8,-3593329,-7447806,-5009084,-7204932,-7754059,-4940155,-5417079,-8152196,0
9,-3588722,-8388608,-5138054,-8388608,-8340876,-7140351,-7265555,-8097912,0
10,-3557697,-3856504,-4999041,-4153647,-3059659,-6205309,-5872373,-8138093,0
11,-3549311,369383,-4843158,267936,613071,-4041492,-3843321,-8192013,0
12,-3562861,-1518233,-4826840,-1267217,-1821367,-3170282,-3366765,-8209227,0
13,-3593907,-7460431,-5010266,-7218546,-7765489,-4947722,-5424892,-8152323,0
14,-3589068,-8388608,-5138459,-8388608,-8334116,-7142910,-7265483,-8098149,0
15,-3558089,-3840736,-4999029,-4138432,-3043860,-6199976,-5866474,-8138530,0
16,-3563274,-1533720,-4827433,-1281943,-1837385,-3171112,-3367299,-8209401,0
17,-3594228,-7473779,-5011179,-7232858,-7777593,-4955590,-5429446,-8152252,0
18,-3589306,-8388608,-5138658,-8388608,-8326612,-7144494,-7261679,-8098387,0
19,-3558481,-3826215,-4998944,-4123931,-3029578,-6194071,-5857976,-8139064,0
20,-3550252,376398,-4843592,276707,615993,-4031546,-3830784,-8192921,0
21,-3563849,-1550176,-4828226,-1296967,-1855710,-3172567,-3368327,-8209681,0
22,-3594788,-7486215,-5012312,-7246240,-7789112,-4962954,-5441292,-8152342,0
23,-3589641,-8388608,-5139001,-8388608,-8318789,-7145536,-7266245,-8098606,0
24,-3558831,-3808727,-4998811,-4106744,-3011923,-6187768,-5852681,-8139463,0
25,-3550690,381884,-4843651,283248,619406,-4026413,-3826594,-8193362,0
26,-3564399,-1564892,-4828861,-1310571,-1870463,-3173273,-3370789,-8210073,0
27,-3595355,-7500216,-5013508,-7260799,-7801466,-4971782,-5449182,-8152526,0
28,-3590009,-8388608,-5139443,-8388608,-8311054,-7148556,-7266092,-8098972,0
29,-3559111,-3791416,-4998619,-4089595,-2994920,-6182518,-5847122,-8139929,0
30,-3550943,386563,-4843556,289164,621054,-4021112,-3824364,-8193728,0
31,-3564513,-1578622,-4829063,-1323059,-1886758,-3173155,-3373121,-8210132,0
32,-3595434,-7512268,-5014136,-7273802,-7812331,-4979001,-5457146,-8152365,0
33,-3590056,-8388608,-5139502,-8388608,-8303901,-7150667,-7267007,-8099137,0
34,-3559317,-3777679,-4998404,-4075419,-2981730,-6177323,-5839255,-8140392,0
35,-3551184,389354,-4843577,292796,622356,-4016846,-3818042,-8194086,0
36,-3565104,-1593084,-4829828,-1337361,-1901148,-3174935,-3374047,-8210617,0
37,-3596022,-7524749,-5015316,-7286994,-7823332,-4987071,-5465236,-8152680,0
38,-3590365,-8388608,-5139861,-8388608,-8296532,-7151579,-7267903,-8099552,0
39,-3559554,-3763174,-4998227,-4061181,-2967572,-6170838,-5834004,-8140861,0
40,-3551391,392668,-4843512,297061,623345,-4010943,-3814189,-8194424,0
41,-3596236,-7537269,-5016139,-7300421,-7834904,-4994182,-5473354,-8152686,0
42,-3590407,-8388608,-5139977,-8388608,-8288896,-7153100,-7268361,-8099752,0
43,-3559749,-3748759,-4998025,-4046844,-2953841,-6165203,-5828516,-8141351,0
44,-3551769,395598,-4843672,300657,624568,-4007249,-3811203,-8194955,0
45,-3565692,-1619656,-4830725,-1362729,-1930334,-3176381,-3378361,-8211094,0
46,-3596472,-7548224,-5016959,-7312214,-7844794,-5002462,-5478297,-8152684,0
47,-3590579,-8388608,-5140261,-8388608,-8281883,-7157193,-7266777,-8099999,0
48,-3559927,-3735419,-4997860,-4033534,-2940994,-6162658,-5825909,-8141728,0
49,-3552074,398253,-4843789,304554,625515,-4005434,-3812050,-8195376,0
50,-3565981,-1631072,-4831152,-1372749,-1943009,-3178039,-3382321,-8211349,0
51,-3596698,-7557402,-5017638,-7321999,-7853006,-5008244,-5487226,-8152756,0
52,-3590655,-8388608,-5140344,-8388608,-8275432,-7157823,-7269789,-8100210,0
53,-3559977,-3722587,-4997537,-4021011,-2927755,-6157199,-5820707,-8142027,0
54,-3552124,401160,-4843635,307674,627288,-4000405,-3808721,-8195560,0
55,-3566072,-1641994,-4831404,-1383988,-1954756,-3177918,-3383474,-8211377,0
56,-3596947,-7568077,-5018447,-7333632,-7862276,-5015672,-5491914,-8152778,0
57,-3590827,-8388608,-5140616,-8388608,-8268481,-7161226,-7269276,-8100471,0
