,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3314161,-5476889,-4406724,-5188163,-5907506,-3704952,-4115192,-7791946,0
1,-3346124,-8388608,-4589919,-8388608,-8388608,-5935102,-6249434,-7766936,0
2,-3288284,-5463980,-4511655,-5660923,-4788613,-6046283,-5832617,-7725407,0
3,-3246431,-715804,-4338131,-855031,-259048,-4231961,-3944687,-7728702,0
4,-3255642,-475237,-4277239,-362212,-594412,-2954416,-2987332,-7763588,0
5,-3314228,-5482381,-4407585,-5193462,-5913417,-3707336,-4118199,-7792303,0
6,-3346014,-8388608,-4590543,-8388608,-8388608,-5937530,-6250972,-7767179,0
7,-3288137,-5460490,-4512110,-5657038,-4784588,-6045556,-5832406,-7725602,0
8,-3246385,-715816,-4338706,-854643,-258864,-4230766,-3946283,-7728999,0
9,-3255613,-476998,-4277865,-363689,-596524,-2953908,-2989417,-7763881,0
10,-3346060,-8388608,-4591384,-8388608,-8388608,-5937455,-6252332,-7767442,0
11,-3288105,-5456929,-4512724,-5653917,-4780396,-6044122,-5832076,-7725856,0
12,-3246371,-713958,-4339308,-852872,-257451,-4230173,-3946069,-7729301,0
13,-3255657,-478507,-4278579,-365225,-598432,-2954670,-2990029,-7764260,0
14,-3314276,-5490660,-4409184,-5202344,-5922055,-3710497,-4122359,-7792871,0
15,-3345944,-8388608,-4592044,-8388608,-8388608,-5940101,-6253443,-7767549,0
16,-3287994,-5453132,-4513230,-5650088,-4776389,-6043646,-5831733,-7726053,0
17,-3246263,-713331,-4339816,-852195,-256885,-4228969,-3946300,-7729521,0
18,-3255589,-481414,-4279190,-368091,-601261,-2954796,-2991080,-7764457,0
19,-3314297,-5495192,-4409994,-5206961,-5926410,-3712424,-4125104,-7793066,0
20,-3345912,-8388608,-4592783,-8388608,-8388608,-5941767,-6255719,-7767719,0
21,-3287942,-5450497,-4513823,-5647419,-4773297,-6044021,-5830951,-7726268,0
22,-3246405,-711879,-4340589,-850732,-255272,-4229486,-3945230,-7729919,0
23,-3255861,-483239,-4280159,-369290,-603632,-2956114,-2991554,-7764887,0
24,-3314526,-5500296,-4411031,-5211803,-5931454,-3714914,-4127312,-7793427,0
25,-3345981,-8388608,-4593644,-8388608,-8388608,-5943451,-6257339,-7767980,0
26,-3287939,-5446061,-4514429,-5643112,-4768351,-6042916,-5831280,-7726541,0
27,-3246376,-710319,-4341157,-848972,-253443,-4228023,-3945231,-7730112,0
28,-3255859,-485712,-4280838,-372241,-605874,-2955997,-2992369,-7765096,0
29,-3314630,-5504144,-4411902,-5215832,-5935017,-3716870,-4129708,-7793696,0
30,-3346043,-8388608,-4594448,-8388608,-8388608,-5946122,-6259286,-7768234,0
31,-3287995,-5443541,-4515144,-5641019,-4765706,-6043542,-5830757,-7726778,0
32,-3246486,-708081,-4341872,-846842,-252019,-4227314,-3945222,-7730425,0
33,-3255986,-488072,-4281611,-373626,-609196,-2955902,-2993780,-7765401,0
34,-3314860,-5509716,-4412920,-5221268,-5940311,-3719466,-4131892,-7794050,0
35,-3288074,-5438669,-4515811,-5636278,-4760727,-6043745,-5829462,-7727033,0
36,-3246681,-704586,-4342607,-843384,-249129,-4226214,-3944492,-7730834,0
37,-3256277,-490412,-4282542,-376306,-611108,-2955828,-2994689,-7765893,0
38,-3315039,-5515804,-4413915,-5227365,-5945868,-3721775,-4134086,-7794323,0
39,-3346424,-8388608,-4596410,-8388608,-8388608,-5951142,-6261477,-7768806,0
40,-3288337,-5434532,-4516691,-5632592,-4756742,-6043361,-5828327,-7727493,0
41,-3246976,-702644,-4343495,-841517,-248224,-4225559,-3941568,-7731353,0
42,-3256586,-493577,-4283517,-378374,-615410,-2956487,-2993267,-7766369,0
43,-3315249,-5520864,-4414906,-5232014,-5950766,-3724531,-4137137,-7794587,0
44,-3346494,-8388608,-4597156,-8388608,-8388608,-5953531,-6264277,-7768997,0
45,-3288368,-5431198,-4517255,-5628977,-4753231,-6043025,-5828072,-7727739,0
46,-3247037,-700652,-4344091,-839504,-245986,-4224101,-3940746,-7731633,0
47,-3256744,-495276,-4284294,-380483,-617539,-2955781,-2993571,-7766650,0
48,-3315523,-5526316,-4415967,-5238170,-5956152,-3726513,-4139899,-7794932,0
49,-3346682,-8388608,-4598107,-8388608,-8388608,-5955230,-6265302,-7769281,0
50,-3288504,-5427417,-4517969,-5624871,-4748996,-6042163,-5826782,-7728046,0
51,-3247165,-697609,-4344759,-835691,-243897,-4221727,-3939522,-7731913,0
52,-3256863,-498469,-4285019,-382799,-620867,-2954023,-2993814,-7766942,0
53,-3315656,-5532719,-4416895,-5244521,-5962312,-3727933,-4142062,-7795152,0
54,-3346707,-8388608,-4598876,-8388608,-8388608,-5957391,-6266472,-7769425,0
55,-3288562,-5422116,-4518559,-5620088,-4743574,-6041314,-5824872,-7728271,0
56,-3247304,-694751,-4345416,-833236,-241254,-4220476,-3938349,-7732259,0
57,-3256922,-499052,-4285662,-383999,-621832,-2953709,-2993896,-7767226,0
58,-3315685,-5536952,-4417657,-5249031,-5966317,-3729065,-4143386,-7795362,0
59,-3346661,-8388608,-4599549,-8388608,-8388608,-5957864,-6266524,-7769512,0
60,-3288499,-5417818,-4519021,-5615727,-4739331,-6039789,-5823406,-7728409,0
61,-3247381,-693601,-4346036,-831540,-240555,-4219367,-3937584,-7732546,0
62,-3257117,-502252,-4286482,-386454,-625282,-2954032,-2994022,-7767617,0
63,-3315861,-5542231,-4418602,-5254272,-5971417,-3731735,-4145526,-7795626,0
64,-3346758,-8388608,-4600402,-8388608,-8388608,-5960956,-6268550,-7769673,0
65,-3288532,-5412473,-4519595,-5610223,-4733567,-6039636,-5822685,-7728632,0
66,-3247349,-690687,-4346489,-828192,-238268,-4217519,-3936464,-7732785,0
67,-3257222,-503957,-4287133,-387907,-628277,-2952642,-2993618,-7768012,0
68,-3316072,-5547542,-4419561,-5259828,-5976587,-3733217,-4148194,-7795979,0
69,-3288589,-5408449,-4520185,-5606402,-4729514,-6039243,-5818766,-7728962,0
70,-3247503,-689429,-4347171,-827359,-237614,-4217322,-3930463,-7733224,0
71,-3257263,-506724,-4287769,-390671,-630973,-2952779,-2990241,-7768276,0
72,-3316252,-5552550,-4420474,-5265115,-5981488,-3735818,-4150134,-7796325,0
73,-3346972,-8388608,-4602067,-8388608,-8388608,-5965934,-6273641,-7770221,0
74,-3288671,-5403976,-4520781,-5601770,-4724893,-6039068,-5818311,-7729322,0
75,-3247673,-688772,-4347898,-826321,-236932,-4216636,-3929574,-7733626,0
76,-3257471,-508494,-4288606,-391729,-633481,-2953252,-2990267,-7768679,0
77,-3316411,-5557629,-4421394,-5270131,-5986580,-3737926,-4152276,-7796597,0
78,-3347016,-8388608,-4602841,-8388608,-8388608,-5968092,-6275216,-7770415,0
79,-3288696,-5397567,-4521317,-5595492,-4718062,-6038461,-5818786,-7729535,0
80,-3247750,-684967,-4348449,-822274,-233764,-4215375,-3932363,-7733912,0
81,-3257699,-509757,-4289397,-393211,-634812,-2953151,-2993447,-7769122,0
82,-3316637,-5562317,-4422341,-5275054,-5991114,-3739531,-4154494,-7797004,0
83,-3347134,-8388608,-4603701,-8388608,-8388608,-5970383,-6276045,-7770674,0
84,-3288741,-5393827,-4521934,-5592236,-4713913,-6038066,-5818111,-7729776,0
85,-3247896,-683244,-4349138,-820574,-232272,-4212229,-3931235,-7734276,0
86,-3257865,-512884,-4290176,-395515,-638239,-2950306,-2993629,-7769486,0
87,-3316776,-5567116,-4423201,-5279769,-5995898,-3740686,-4158224,-7797254,0
88,-3347271,-8388608,-4604517,-8388608,-8388608,-5973010,-6279970,-7770915,0
89,-3288944,-5388759,-4522639,-5587056,-4708693,-6037752,-5816964,-7730176,0
90,-3248187,-681027,-4349914,-817906,-230362,-4211382,-3929209,-7734781,0
91,-3258219,-516197,-4291129,-398835,-641522,-2950954,-2993762,-7769999,0
92,-3317068,-5571619,-4424219,-5284321,-6000045,-3743362,-4159195,-7797592,0
93,-3347414,-8388608,-4605329,-8388608,-8388608,-5975521,-6279881,-7771140,0
94,-3289015,-5384769,-4523232,-5583397,-4704024,-6037524,-5815617,-7730417,0
95,-3248296,-677933,-4350519,-815211,-227899,-4210093,-3928226,-7735082,0
96,-3258332,-518644,-4291837,-400851,-645119,-2951173,-2993918,-7770202,0
97,-3317242,-5576179,-4425099,-5288729,-6004822,-3745744,-4161807,-7797814,0
98,-3347549,-8388608,-4606135,-8388608,-8388608,-5978362,-6281954,-7771352,0
99,-3289091,-5378168,-4523780,-5576914,-4697049,-6037356,-5816133,-7730676,0
100,-3248391,-673494,-4351072,-810645,-224167,-4208118,-3929067,-7735308,0
101,-3258549,-520371,-4292623,-402920,-646396,-2950229,-2995959,-7770521,0
102,-3317537,-5581655,-4426119,-5294489,-6009816,-3747199,-4164571,-7798152,0
103,-3347769,-8388608,-4607036,-8388608,-8388608,-5979747,-6283346,-7771668,0
104,-3289281,-5373473,-4524476,-5572496,-4691936,-6036526,-5815291,-7730964,0
105,-3248597,-669305,-4351747,-806261,-221136,-4206550,-3927539,-7735636,0
106,-3258820,-523181,-4293464,-405229,-650246,-2950394,-2996282,-7770932,0
107,-3347855,-8388608,-4607772,-8388608,-8388608,-5981858,-6286139,-7771846,0
108,-3289286,-5368126,-4524947,-5567261,-4686378,-6035432,-5813351,-7731112,0
109,-3248643,-665667,-4352238,-802214,-218664,-4204359,-3924867,-7735851,0
110,-3258943,-526689,-4294152,-408269,-653961,-2949494,-2995725,-7771195,0
111,-3317972,-5594133,-4428008,-5307224,-6022023,-3751854,-4169201,-7798735,0
112,-3348012,-8388608,-4608570,-8388608,-8388608,-5983416,-6285740,-7772047,0
113,-3289427,-5363839,-4525542,-5562769,-4681754,-6034534,-5812146,-7731381,0
114,-3248936,-662689,-4352957,-798781,-216459,-4202603,-3923614,-7736311,0
115,-3259199,-528572,-4294925,-410389,-656593,-2948709,-2995187,-7771631,0
116,-3318141,-5599416,-4428869,-5312623,-6027088,-3753292,-4169996,-7798972,0
117,-3348086,-8388608,-4609255,-8388608,-8388608,-5984227,-6284781,-7772252,0
118,-3289456,-5360341,-4526031,-5559348,-4678665,-6033747,-5808081,-7731609,0
119,-3248967,-660575,-4353451,-796476,-215411,-4202281,-3919734,-7736557,0
120,-3259362,-530831,-4295627,-412093,-659505,-2949329,-2993651,-7771944,0
121,-3318356,-5604709,-4429759,-5317893,-6032597,-3756084,-4171294,-7799303,0
122,-3348159,-8388608,-4609923,-8388608,-8388608,-5986300,-6285107,-7772486,0
123,-3289652,-5356992,-4526659,-5555843,-4675397,-6033552,-5808532,-7732051,0
