,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3259610,-5168280,-4624471,-4713403,-5553957,-3695056,-4197421,-7882010,0
1,-3270281,-8388608,-4821217,-8388608,-8388608,-6592227,-7139444,-7799518,0
2,-3250737,-6095152,-4782949,-6466204,-5522184,-6827012,-6593015,-7815669,0
3,-3239183,-851493,-4607743,-1213162,-383856,-4441855,-3948842,-7886264,0
4,-3240683,-167919,-4524041,-38761,-267962,-2795345,-2691956,-7919157,0
5,-3259708,-5155698,-4624873,-4700352,-5541644,-3690369,-4191014,-7882352,0
6,-3270495,-8388608,-4821839,-8388608,-8388608,-6587399,-7136085,-7799839,0
7,-3251019,-6105743,-4784187,-6476028,-5533399,-6831107,-6598214,-7815804,0
8,-3239429,-858737,-4608971,-1221096,-389790,-4448778,-3953546,-7886409,0
9,-3241027,-164346,-4525141,-36433,-263461,-2799462,-2692902,-7919508,0
10,-3260097,-5145062,-4625653,-4690393,-5531589,-3687981,-4186841,-7882918,0
11,-3270935,-8388608,-4822827,-8388608,-8388608,-6584863,-7135524,-7800269,0
12,-3251439,-6117484,-4785667,-6486602,-5544322,-6835182,-6605000,-7816011,0
13,-3239841,-864224,-4610299,-1226899,-393040,-4451774,-3957571,-7886785,0
14,-3241384,-159962,-4526139,-32842,-258978,-2798324,-2692485,-7920014,0
15,-3260306,-5133687,-4626189,-4679383,-5521331,-3682884,-4181286,-7883439,0
16,-3271034,-8388608,-4823400,-8388608,-8388608,-6581851,-7132443,-7800514,0
17,-3251656,-6129392,-4786896,-6497017,-5556947,-6839623,-6610359,-7816111,0
18,-3239999,-873616,-4611499,-1236777,-401234,-4456952,-3962978,-7886901,0
19,-3241452,-158207,-4527041,-31929,-256200,-2801249,-2694482,-7920102,0
20,-3260316,-5123175,-4626596,-4668900,-5511032,-3679359,-4176247,-7883679,0
21,-3271201,-8388608,-4823899,-8388608,-8388608,-6576775,-7127581,-7800825,0
22,-3240296,-880806,-4612759,-1244370,-406889,-4462388,-3967581,-7887117,0
23,-3241719,-153709,-4527993,-28442,-250798,-2801986,-2694514,-7920448,0
24,-3260612,-5113546,-4627286,-4659042,-5501482,-3676061,-4171840,-7884185,0
25,-3271511,-8388608,-4824756,-8388608,-8388608,-6576162,-7126510,-7801165,0
26,-3252181,-6152807,-4789392,-6519144,-5580901,-6849514,-6621922,-7816267,0
27,-3240553,-885851,-4613964,-1250536,-410844,-4466853,-3972473,-7887324,0
28,-3242072,-151009,-4529065,-25524,-247705,-2802844,-2695482,-7920860,0
29,-3260909,-5103969,-4627954,-4648926,-5492497,-3671512,-4167330,-7884704,0
30,-3271885,-8388608,-4825557,-8388608,-8388608,-6571773,-7123602,-7801677,0
31,-3252566,-6165554,-4790765,-6530746,-5594338,-6853429,-6627524,-7816497,0
32,-3240783,-896349,-4615241,-1261179,-419068,-4472598,-3978129,-7887414,0
33,-3242209,-147095,-4529935,-23407,-243412,-2804241,-2696356,-7921037,0
34,-3261112,-5093430,-4628534,-4639305,-5482601,-3667854,-4163208,-7885181,0
35,-3272090,-8388608,-4826182,-8388608,-8388608,-6567705,-7120624,-7802104,0
36,-3252775,-6177171,-4791913,-6541297,-5606094,-6856697,-6632113,-7816653,0
37,-3241060,-904168,-4616482,-1269289,-425793,-4477500,-3982552,-7887672,0
38,-3242420,-143878,-4530839,-20279,-239411,-2805179,-2696246,-7921371,0
39,-3261205,-5084034,-4629012,-4629542,-5473765,-3664779,-4158424,-7885551,0
40,-3272319,-8388608,-4826897,-8388608,-8388608,-6567602,-7118568,-7802507,0
41,-3253044,-6188377,-4793154,-6551489,-5618327,-6862959,-6637603,-7816862,0
42,-3241192,-913012,-4617603,-1278724,-433664,-4483121,-3987449,-7887794,0
43,-3242536,-139709,-4531631,-17755,-235150,-2806081,-2696326,-7921667,0
