,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3978765,-1315267,-4310762,-1726231,-709045,-4552274,-4129869,-8134762,0
1,-3975131,1076226,-4206927,1084297,1087725,-2793867,-2592682,-8170903,0
2,-4006244,-2500888,-4251567,-2039655,-2892421,-2755728,-3045623,-8188323,0
3,-4044427,-8126807,-4438319,-7847769,-8336817,-5008322,-5568196,-8149610,0
4,-4017578,-7093088,-4467907,-7327225,-6654559,-6186930,-6192698,-8111954,0
5,-3978236,-1318405,-4310818,-1729230,-711512,-4552631,-4130892,-8134506,0
6,-3974684,1075544,-4207070,1083357,1086941,-2794129,-2593639,-8170729,0
7,-4005809,-2500502,-4251708,-2039638,-2893080,-2756216,-3045987,-8188161,0
8,-4043961,-8126419,-4438385,-7847123,-8336773,-5009614,-5567467,-8149405,0
9,-4016979,-7094731,-4467859,-7328471,-6656147,-6188621,-6192291,-8111586,0
10,-3977548,-1321909,-4310746,-1731811,-714354,-4554396,-4131636,-8134042,0
11,-3973926,1074501,-4206925,1082418,1086273,-2795202,-2594376,-8170212,0
12,-4005041,-2501023,-4251541,-2040166,-2893324,-2756604,-3046276,-8187644,0
13,-4043312,-8126298,-4438309,-7847156,-8336602,-5009087,-5567502,-8148991,0
14,-4016386,-7096195,-4467841,-7329352,-6657313,-6188016,-6192626,-8111202,0
15,-3976881,-1324827,-4310688,-1734247,-716371,-4554523,-4132052,-8133608,0
16,-3973291,1073386,-4206889,1081269,1085161,-2795446,-2594309,-8169856,0
17,-4004477,-2502528,-4251588,-2041906,-2895538,-2756932,-3046551,-8187349,0
18,-4042778,-8126767,-4438413,-7847834,-8337258,-5008669,-5568747,-8148699,0
19,-4016016,-7096157,-4468101,-7329907,-6656974,-6187638,-6194054,-8111067,0
20,-3976631,-1323522,-4311025,-1733864,-714544,-4554435,-4132701,-8133602,0
21,-3972952,1073409,-4207147,1081141,1085296,-2795429,-2594639,-8169769,0
22,-4042332,-8127492,-4438614,-7848419,-8337979,-5008757,-5569402,-8148501,0
23,-4015466,-7096375,-4468170,-7330132,-6657128,-6187104,-6194302,-8110754,0
24,-3975991,-1323932,-4310989,-1734546,-715286,-4554329,-4133146,-8133197,0
25,-3972328,1072954,-4207122,1080813,1084596,-2795857,-2595128,-8169381,0
26,-4003452,-2502981,-4251765,-2042068,-2896094,-2757479,-3047134,-8186829,0
27,-4041704,-8126218,-4438502,-7847154,-8336826,-5008701,-5568584,-8148140,0
28,-4014912,-7096399,-4468121,-7329978,-6656915,-6187045,-6193647,-8110477,0
29,-3975478,-1326100,-4311042,-1736629,-716293,-4554007,-4133150,-8132943,0
30,-3971842,1071795,-4207261,1079513,1083466,-2795398,-2595640,-8169124,0
31,-4002959,-2505546,-4251923,-2045055,-2899027,-2757668,-3048028,-8186542,0
32,-4041184,-8127379,-4438641,-7848776,-8337722,-5010242,-5569584,-8147840,0
33,-4014274,-7094843,-4468079,-7329018,-6655710,-6188233,-6193538,-8110081,0
34,-3974877,-1324149,-4310981,-1735484,-716213,-4553284,-4132266,-8132586,0
35,-3971147,1071552,-4207099,1079418,1083529,-2793719,-2594484,-8168680,0
36,-4002292,-2505956,-4251819,-2044318,-2897964,-2756404,-3047368,-8186140,0
37,-4040727,-8127583,-4438751,-7848454,-8337819,-5009502,-5569677,-8147658,0
38,-4013939,-7095777,-4468337,-7330107,-6656931,-6188314,-6194449,-8109989,0
39,-3974451,-1325241,-4311154,-1736817,-717420,-4553965,-4132789,-8132381,0
40,-3970689,1071375,-4207223,1078846,1082572,-2793866,-2594367,-8168467,0
41,-4001775,-2505709,-4251877,-2045266,-2899417,-2755796,-3047170,-8185893,0
42,-4040109,-8127892,-4438730,-7848930,-8337946,-5008803,-5570587,-8147301,0
43,-4013142,-7094832,-4468092,-7328970,-6656351,-6187546,-6194852,-8109451,0
44,-3973660,-1325655,-4310919,-1736559,-718321,-4553871,-4132960,-8131837,0
45,-3969977,1070384,-4207087,1078217,1082384,-2793489,-2594521,-8168025,0
46,-4001181,-2506818,-4251861,-2045829,-2898351,-2755452,-3047315,-8185581,0
47,-4039446,-8127612,-4438642,-7849027,-8337511,-5009156,-5570126,-8146925,0
48,-4012527,-7094156,-4468037,-7327875,-6655664,-6187904,-6194072,-8109119,0
49,-3973093,-1326443,-4310897,-1735934,-718814,-4552749,-4132217,-8131556,0
50,-3969390,1070200,-4207041,1077851,1081874,-2792001,-2593822,-8167734,0
51,-4000563,-2506031,-4251800,-2046441,-2898887,-2754789,-3046982,-8185262,0
52,-4011991,-7093262,-4468040,-7327066,-6654663,-6188551,-6193734,-8108870,0
53,-3972582,-1327310,-4310933,-1737091,-719743,-4552087,-4132076,-8131331,0
54,-3968870,1069676,-4207081,1077306,1081840,-2789975,-2593537,-8167530,0
55,-3999904,-2505974,-4251692,-2045886,-2897829,-2752959,-3046279,-8184948,0
56,-4038228,-8127569,-4438516,-7849227,-8337460,-5011417,-5569286,-8146323,0
57,-4011350,-7093365,-4467907,-7327275,-6655033,-6191292,-6193082,-8108531,0
58,-3971950,-1327767,-4310846,-1738193,-720552,-4552588,-4131916,-8131016,0
59,-3968192,1069304,-4206982,1076796,1081342,-2789288,-2593536,-8167177,0
60,-3999306,-2506307,-4251682,-2045762,-2898420,-2752519,-3046486,-8184659,0
61,-4037578,-8128139,-4438479,-7849709,-8337834,-5012482,-5570120,-8145947,0
62,-4010702,-7092285,-4467836,-7326597,-6654145,-6192099,-6193141,-8108161,0
63,-3971357,-1327574,-4310806,-1738057,-720700,-4552882,-4131504,-8130717,0
