,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3688860,-8388608,-5127691,-8388608,-8388608,-5681964,-7788163,-7850456,0
1,-3688957,-6412052,-5116483,-6811727,-5655041,-6121365,-7207019,-7882458,0
2,-3690122,-697206,-4930534,-1113376,-141061,-5120665,-3731205,-7985672,0
3,-3689036,-588523,-4850820,-443738,-739444,-4285454,-2536204,-8013045,0
4,-3689689,-5095606,-4933242,-4692452,-5520749,-4436579,-4279315,-7959382,0
5,-3689320,-8388608,-5128122,-8388608,-8388608,-5682321,-7788592,-7850774,0
6,-3689607,-6410542,-5116984,-6810147,-5653430,-6120583,-7205587,-7883057,0
7,-3690807,-697572,-4931093,-1113992,-140617,-5122597,-3731171,-7986272,0
8,-3689606,-587429,-4851283,-443181,-738538,-4288418,-2535922,-8013479,0
9,-3690247,-5095996,-4933747,-4692743,-5520985,-4438832,-4279853,-7959754,0
10,-3689839,-8388608,-5128658,-8388608,-8388608,-5681386,-7790174,-7851066,0
11,-3689998,-6410601,-5117326,-6810547,-5655083,-6117707,-7206009,-7883267,0
12,-3691218,-697762,-4931422,-1114389,-142755,-5123248,-3730786,-7986521,0
13,-3690107,-587474,-4851684,-442451,-738899,-4291983,-2535339,-8013843,0
14,-3690664,-5097981,-4934150,-4694194,-5522949,-4442748,-4280798,-7959972,0
15,-3690307,-8388608,-5129126,-8388608,-8388608,-5686176,-7791134,-7851343,0
16,-3690636,-6408314,-5117819,-6808507,-5653556,-6122287,-7204831,-7883792,0
17,-3691882,-696332,-4931942,-1112591,-142276,-5122487,-3730618,-7987074,0
18,-3691349,-5098956,-4934801,-4695326,-5523710,-4438438,-4281758,-7960450,0
19,-3690838,-8388608,-5129739,-8388608,-8388608,-5682962,-7792904,-7851607,0
20,-3691125,-6406118,-5118300,-6807047,-5650319,-6119762,-7204930,-7884103,0
21,-3692517,-693753,-4932467,-1110517,-139465,-5123384,-3729348,-7987579,0
22,-3691390,-586667,-4852768,-441412,-738267,-4290247,-2535307,-8014827,0
23,-3691897,-5100094,-4935311,-4695580,-5524493,-4440437,-4282282,-7960820,0
