,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3795163,-87742,-4897410,76632,-202409,-2880358,-2830887,-8317856,0
1,-3794151,-4745407,-4971885,-4316899,-5082704,-3637261,-4145464,-8268275,0
2,-3796512,-8388608,-5175291,-8388608,-8388608,-6821544,-7430031,-8158409,0
3,-3800271,-6734924,-5182326,-7103959,-6169854,-7582747,-7367051,-8182052,0
4,-3800603,-648604,-4991129,-1073482,-135676,-4764774,-4222632,-8287699,0
5,-3795437,-78267,-4898058,84627,-192401,-2885166,-2830549,-8318176,0
6,-3794404,-4726446,-4971954,-4298081,-5064344,-3631113,-4135996,-8268901,0
7,-3796701,-8388608,-5175364,-8388608,-8388608,-6810534,-7421767,-8158884,0
8,-3800513,-6753881,-5183512,-7121053,-6190713,-7587436,-7376162,-8181987,0
9,-3800864,-662465,-4992317,-1088944,-146646,-4774851,-4231834,-8287759,0
10,-3795578,-68330,-4898547,92933,-181009,-2887492,-2830397,-8318407,0
11,-3794569,-4706270,-4971877,-4278121,-5044508,-3623498,-4126188,-8269481,0
12,-3796947,-8388608,-5175418,-8388608,-8388608,-6803251,-7413486,-8159424,0
13,-3800589,-6774094,-5184536,-7139011,-6212589,-7596238,-7385736,-8181728,0
14,-3800967,-678155,-4993385,-1105212,-158077,-4787740,-4241279,-8287644,0
15,-3795810,-58446,-4899141,101382,-169887,-2891831,-2830696,-8318708,0
16,-3794687,-4685478,-4971735,-4256802,-5023762,-3615212,-4116420,-8270004,0
17,-3796997,-8388608,-5175312,-8388608,-8388608,-6789039,-7404965,-8159764,0
18,-3801058,-693407,-4994464,-1121859,-169484,-4794287,-4250894,-8287496,0
19,-3795944,-49111,-4899714,108836,-158819,-2892522,-2831304,-8318814,0
20,-3794915,-4663789,-4971700,-4235436,-5002056,-3607620,-4105720,-8270569,0
21,-3797145,-8388608,-5175208,-8388608,-8388608,-6784602,-7394471,-8160181,0
22,-3800857,-6814732,-5186643,-7174770,-6258243,-7607131,-7402426,-8181321,0
23,-3801353,-711128,-4995764,-1140867,-184352,-4804271,-4261244,-8287464,0
24,-3796208,-40031,-4900352,115819,-148785,-2893881,-2832047,-8319046,0
25,-3795168,-4642742,-4971672,-4214884,-4981412,-3597198,-4095722,-8271167,0
26,-3797481,-8388608,-5175295,-8388608,-8388608,-6769268,-7385464,-8160827,0
27,-3801223,-6833486,-5187866,-7192106,-6278774,-7612510,-7411069,-8181364,0
28,-3801670,-726088,-4997061,-1159034,-195772,-4819779,-4271431,-8287425,0
29,-3796556,-31459,-4901164,122163,-138502,-2901739,-2834127,-8319217,0
30,-3795500,-4622682,-4971798,-4194985,-4961011,-3592422,-4086414,-8271709,0
31,-3797732,-8388608,-5175372,-8388608,-8388608,-6759852,-7375596,-8161262,0
32,-3801388,-6853430,-5189004,-7210404,-6301964,-7615243,-7419807,-8181075,0
33,-3801986,-742529,-4998352,-1177255,-209150,-4825920,-4281240,-8287369,0
34,-3796861,-20542,-4901756,131791,-126720,-2900951,-2833397,-8319515,0
35,-3795695,-4601446,-4971706,-4173072,-4940069,-3580810,-4076335,-8272237,0
36,-3797960,-8388608,-5175513,-8388608,-8388608,-6743745,-7369016,-8161718,0
37,-3801621,-6872214,-5190238,-7227545,-6323884,-7620344,-7430576,-8180888,0
38,-3802180,-755339,-4999449,-1191574,-221047,-4840424,-4290599,-8287221,0
39,-3797117,-11326,-4902323,139702,-115711,-2906974,-2833607,-8319713,0
40,-3795961,-4581281,-4971692,-4152451,-4919351,-3575881,-4066513,-8272830,0
41,-3798144,-8388608,-5175442,-8388608,-8388608,-6739445,-7359759,-8162188,0
42,-3801751,-6890507,-5191214,-7244209,-6344459,-7627872,-7439329,-8180686,0
43,-3802246,-770611,-5000436,-1209151,-233072,-4847631,-4300319,-8286997,0
44,-3797076,-2655,-4902651,146698,-105532,-2907466,-2834281,-8319639,0
45,-3795923,-4560306,-4971399,-4131684,-4898116,-3565953,-4056671,-8273128,0
46,-3801947,-6908633,-5192351,-7260000,-6365020,-7632682,-7448451,-8180551,0
47,-3802479,-784381,-5001561,-1222927,-244582,-4860042,-4309185,-8286971,0
48,-3797436,5288,-4903346,153238,-96678,-2912036,-2834876,-8320017,0
49,-3796268,-4540971,-4971490,-4112437,-4878602,-3561439,-4047513,-8273826,0
50,-3798482,-8388608,-5175356,-8388608,-8388608,-6720730,-7341498,-8163095,0
51,-3802115,-6928191,-5193374,-7278099,-6388144,-7640482,-7456256,-8180382,0
