,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3666824,-6038423,-4324992,-5583554,-6431790,-3794487,-4326983,-7950924,0
1,-3671962,-8388608,-4469191,-8388608,-8388608,-6079392,-6434239,-7894280,0
2,-3632114,-4260392,-4370752,-4657711,-3612729,-5545617,-5231526,-7899412,0
3,-3615589,263886,-4221772,35669,556252,-3480012,-3114948,-7942230,0
4,-3627603,-405670,-4184759,-163522,-604637,-2445567,-2480743,-7971096,0
5,-3666717,-6052981,-4325439,-5598754,-6445909,-3801725,-4334209,-7950716,0
6,-3671607,-8388608,-4469145,-8388608,-8388608,-6084301,-6436079,-7894004,0
7,-3631771,-4244979,-4370208,-4642662,-3597382,-5542289,-5226098,-7899386,0
8,-3615254,270153,-4221257,43409,560068,-3476011,-3111189,-7942176,0
9,-3627181,-416254,-4184475,-172961,-615132,-2445904,-2482349,-7970801,0
10,-3666318,-6068420,-4325604,-5614819,-6460497,-3808462,-4341627,-7950217,0
11,-3671249,-8388608,-4469060,-8388608,-8388608,-6087217,-6437600,-7893746,0
12,-3631576,-4230186,-4369802,-4628495,-3581415,-5538156,-5220669,-7899502,0
13,-3615200,276294,-4221042,50584,564903,-3471747,-3107220,-7942372,0
14,-3627411,-426193,-4184859,-181064,-627423,-2446613,-2484106,-7971127,0
15,-3666566,-6083358,-4326399,-5629920,-6475063,-3815219,-4348934,-7950376,0
16,-3671227,-8388608,-4469281,-8388608,-8388608,-6089741,-6438391,-7893861,0
17,-3631297,-4215564,-4369309,-4614942,-3567051,-5533719,-5214832,-7899552,0
18,-3614916,282549,-4220572,57756,568385,-3467436,-3102859,-7942367,0
19,-3627156,-437842,-4184770,-191750,-640014,-2447326,-2485901,-7970966,0
20,-3666147,-6099161,-4326594,-5646393,-6490109,-3822206,-4356880,-7949804,0
21,-3630872,-4201527,-4368712,-4601012,-3552034,-5528789,-5209797,-7899381,0
22,-3614598,288349,-4220117,65143,572939,-3462127,-3099076,-7942286,0
23,-3626914,-448894,-4184707,-201124,-651763,-2447041,-2487504,-7970824,0
24,-3666047,-6114912,-4327101,-5662362,-6505140,-3828960,-4364628,-7949583,0
25,-3670327,-8388608,-4468989,-8388608,-8388608,-6095387,-6441471,-7893087,0
26,-3630504,-4186958,-4368137,-4586807,-3537462,-5523657,-5203831,-7899321,0
27,-3614380,293324,-4219756,71338,576009,-3456915,-3095116,-7942306,0
28,-3626737,-459006,-4184696,-210543,-662687,-2446592,-2488967,-7970736,0
29,-3665771,-6129141,-4327372,-5677397,-6518642,-3834684,-4371497,-7949211,0
