,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3097375,142633,-3153600,-66287,370264,-2356892,-2070197,-7223437,1
1,-3121987,-539939,-3138653,-330664,-645227,-1648682,-1695234,-7272887,1
2,-3169276,-4266549,-3236662,-3812035,-4588676,-2659060,-3054198,-7292837,1
3,-3178624,-6792331,-3348144,-6558457,-6817090,-4525534,-4817736,-7241072,1
4,-3119181,-3379347,-3269947,-3716792,-2853089,-4114397,-3853094,-7193607,1
5,-3097150,137097,-3153772,-73173,366316,-2359996,-2073839,-7223051,1
6,-3121524,-533089,-3138364,-324722,-637444,-1648520,-1694229,-7272373,1
7,-3168767,-4253112,-3236011,-3799098,-4574797,-2653060,-3047572,-7292499,1
8,-3178311,-6795215,-3347897,-6559476,-6822029,-4522408,-4816621,-7240866,1
9,-3118917,-3398166,-3270292,-3734092,-2872499,-4121321,-3861071,-7193170,1
10,-3096785,130990,-3153909,-80896,362849,-2366431,-2078311,-7222587,1
11,-3121166,-522204,-3138142,-315143,-625694,-1648155,-1692034,-7272116,1
12,-3168305,-4235297,-3235311,-3781897,-4556651,-2644678,-3038700,-7292409,1
13,-3177941,-6795499,-3347489,-6557792,-6824491,-4516662,-4813215,-7240759,1
14,-3118561,-3413297,-3270404,-3747716,-2888316,-4124808,-3866275,-7192787,1
15,-3096179,124700,-3153830,-87671,358583,-2370558,-2082364,-7221904,1
16,-3120436,-522622,-3137869,-315547,-625187,-1650667,-1693797,-7271294,1
17,-3177647,-6801482,-3347494,-6562357,-6832318,-4516474,-4814481,-7240502,1
18,-3118445,-3429835,-3270958,-3763426,-2906333,-4132771,-3874557,-7192517,1
19,-3095969,120171,-3154087,-93456,355248,-2376514,-2086046,-7221672,1
20,-3120227,-513134,-3137804,-307329,-615101,-1650383,-1691547,-7271216,1
21,-3167419,-4208370,-3234326,-3756509,-4528298,-2634130,-3026034,-7292002,1
22,-3177682,-6793641,-3347196,-6552809,-6826067,-4508019,-4807479,-7240947,1
23,-3118449,-3437865,-3271131,-3770539,-2915774,-4132226,-3876044,-7192628,1
24,-3095772,118823,-3154126,-95697,354249,-2377064,-2086894,-7221529,1
25,-3119820,-503157,-3137441,-298054,-604072,-1647811,-1688221,-7270957,1
26,-3166841,-4192929,-3233512,-3741281,-4512526,-2625787,-3017234,-7291742,1
27,-3177356,-6796749,-3346871,-6553697,-6831242,-4503639,-4805154,-7240794,1
28,-3118167,-3455584,-3271362,-3787109,-2934106,-4137223,-3882696,-7192252,1
29,-3095067,110931,-3154019,-106042,349327,-2382728,-2092113,-7220696,1
30,-3119092,-501321,-3137126,-297164,-601233,-1650467,-1689830,-7270183,1
31,-3166230,-4181769,-3232919,-3731104,-4500660,-2622058,-3012464,-7291334,1
32,-3177121,-6798734,-3346702,-6554184,-6835037,-4501489,-4804175,-7240716,1
33,-3117980,-3468058,-3271642,-3798606,-2946603,-4142477,-3888683,-7192001,1
34,-3094756,109868,-3153965,-107171,349041,-2384792,-2093151,-7220454,1
35,-3118721,-487906,-3136686,-285116,-587439,-1646446,-1684779,-7270034,1
36,-3165699,-4163412,-3232051,-3713211,-4482245,-2612345,-3002088,-7291177,1
37,-3176786,-6801114,-3346305,-6554449,-6839885,-4496840,-4801114,-7240552,1
38,-3117709,-3487969,-3271924,-3816905,-2968911,-4148729,-3896149,-7191572,1
39,-3094291,101762,-3153996,-116572,342610,-2390572,-2097771,-7219902,1
40,-3118203,-483329,-3136412,-281141,-581998,-1647604,-1684694,-7269561,1
41,-3165136,-4148976,-3231356,-3699866,-4467044,-2606817,-2995441,-7290893,1
42,-3176534,-6800879,-3345997,-6552500,-6841638,-4492536,-4798171,-7240500,1
43,-3093922,95230,-3154180,-124612,338554,-2396612,-2103174,-7219387,1
44,-3117738,-479336,-3136285,-277877,-577026,-1650317,-1686005,-7269054,1
