,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3279602,-811296,-4350416,-663747,-990007,-2941829,-3018009,-7808122,1
1,-3340687,-6176050,-4503579,-5899812,-6589773,-3985335,-4424336,-7829584,1
2,-3360283,-8388608,-4667492,-8388608,-8388608,-6153887,-6419215,-7795859,1
3,-3298847,-4834232,-4560836,-5042916,-4121166,-5919986,-5669189,-7760144,1
4,-3264612,-398809,-4393867,-516235,-10326,-4057911,-3794876,-7771496,1
5,-3279797,-815415,-4350809,-667752,-994659,-2942754,-3019382,-7808340,1
6,-3340794,-6183517,-4504103,-5907318,-6597084,-3989250,-4427008,-7829661,1
7,-3360309,-8388608,-4667832,-8388608,-8388608,-6156461,-6418557,-7795940,1
8,-3298891,-4826614,-4560911,-5035377,-4113354,-5918959,-5665196,-7760329,1
9,-3264728,-395555,-4394016,-512672,-8212,-4056904,-3791565,-7771679,1
10,-3280062,-819996,-4351251,-671586,-1000356,-2943707,-3018551,-7808662,1
11,-3341159,-6190982,-4504877,-5915474,-6604561,-3993017,-4431432,-7830011,1
12,-3360561,-8388608,-4668362,-8388608,-8388608,-6158144,-6422201,-7796281,1
13,-3299089,-4820337,-4561141,-5028906,-4106539,-5916266,-5663837,-7760640,1
14,-3265031,-393758,-4394369,-510429,-6270,-4053956,-3789782,-7772094,1
15,-3280379,-824196,-4351750,-675887,-1004485,-2943069,-3019040,-7809073,1
16,-3360697,-8388608,-4668846,-8388608,-8388608,-6160017,-6422737,-7796439,1
17,-3299182,-4813010,-4561302,-5021407,-4098904,-5914694,-5662600,-7760861,1
18,-3265192,-389886,-4394590,-506003,-3338,-4052142,-3789257,-7772391,1
19,-3280739,-828009,-4352307,-679169,-1008612,-2943193,-3020306,-7809506,1
20,-3341875,-6205249,-4506388,-5929588,-6617564,-3998523,-4438208,-7830706,1
21,-3360970,-8388608,-4669393,-8388608,-8388608,-6161662,-6424753,-7796711,1
22,-3299312,-4807387,-4561496,-5016351,-4093444,-5913636,-5660889,-7761073,1
23,-3265409,-386057,-4394847,-502373,-739,-4051188,-3788776,-7772714,1
24,-3281036,-830987,-4352758,-681218,-1012956,-2943880,-3021502,-7809876,1
25,-3342199,-6211389,-4507077,-5935710,-6623436,-4001059,-4441094,-7830979,1
26,-3361213,-8388608,-4669936,-8388608,-8388608,-6163005,-6425468,-7796971,1
27,-3299594,-4801970,-4561857,-5011237,-4088262,-5912459,-5657006,-7761471,1
28,-3265746,-384152,-4395261,-500490,212,-4050285,-3784187,-7773161,1
29,-3281404,-835051,-4353343,-686012,-1016455,-2944646,-3019705,-7810233,1
30,-3342427,-6217321,-4507704,-5942404,-6628736,-4003763,-4441027,-7831144,1
31,-3361262,-8388608,-4670277,-8388608,-8388608,-6164071,-6423438,-7797027,1
32,-3299754,-4796023,-4562059,-5005194,-4082152,-5910277,-5654279,-7761737,1
33,-3265929,-382361,-4395494,-498239,1585,-4047259,-3783172,-7773400,1
34,-3281548,-839414,-4353650,-689762,-1021435,-2943390,-3021022,-7810427,1
35,-3342645,-6222642,-4508244,-5947754,-6633861,-4005672,-4446324,-7831336,1
36,-3361406,-8388608,-4670593,-8388608,-8388608,-6165562,-6427694,-7797253,1
37,-3299711,-4788422,-4561976,-4997568,-4074556,-5908047,-5652973,-7761822,1
38,-3265994,-379149,-4395543,-494949,3630,-4044550,-3780711,-7773573,1
39,-3281841,-844087,-4354077,-693930,-1026674,-2942446,-3020456,-7810773,1
40,-3342941,-6229496,-4508867,-5954756,-6640352,-4007980,-4446945,-7831642,1
41,-3361570,-8388608,-4670964,-8388608,-8388608,-6166259,-6425481,-7797461,1
42,-3300046,-4783126,-4562300,-4992389,-4069287,-5905985,-5650519,-7762255,1
43,-3266441,-378632,-4396059,-493949,3778,-4043836,-3779695,-7774084,1
44,-3282239,-848510,-4354666,-697758,-1031443,-2943349,-3021166,-7811181,1
45,-3361943,-8388608,-4671629,-8388608,-8388608,-6167890,-6427536,-7797792,1
46,-3300418,-4776838,-4562724,-4985746,-4062797,-5904212,-5649781,-7762676,1
47,-3266746,-374887,-4396359,-490138,6613,-4040436,-3779920,-7774469,1
48,-3282570,-851104,-4355067,-700647,-1034517,-2941401,-3022575,-7811587,1
49,-3343804,-6241504,-4510408,-5967055,-6651692,-4012733,-4453966,-7832391,1
50,-3362184,-8388608,-4672134,-8388608,-8388608,-6170066,-6428921,-7798065,1
51,-3300688,-4770935,-4563022,-4980334,-4057042,-5903581,-5647570,-7763059,1
52,-3267171,-372613,-4396797,-487671,7977,-4039226,-3777826,-7775001,1
53,-3282929,-855244,-4355575,-703966,-1039870,-2941166,-3022119,-7811946,1
54,-3343990,-6247255,-4510916,-5972860,-6657386,-4014956,-4456646,-7832540,1
55,-3362321,-8388608,-4672464,-8388608,-8388608,-6171027,-6430237,-7798256,1
56,-3300844,-4766661,-4563200,-4976121,-4052874,-5901785,-5646148,-7763335,1
57,-3267351,-371467,-4397025,-486346,9019,-4037651,-3776889,-7775240,1
58,-3283126,-857861,-4355902,-706702,-1043000,-2941238,-3022551,-7812194,1
59,-3344254,-6252401,-4511480,-5978456,-6662338,-4018009,-4458327,-7832812,1
60,-3362507,-8388608,-4672862,-8388608,-8388608,-6173012,-6429499,-7798526,1
61,-3300937,-4760041,-4563294,-4969649,-4045971,-5899164,-5643970,-7763511,1
62,-3267514,-369409,-4397222,-484236,10413,-4033924,-3776266,-7775459,1
63,-3283411,-862169,-4356342,-710387,-1047085,-2939441,-3023779,-7812488,1
64,-3344614,-6257749,-4512140,-5983625,-6667411,-4019002,-4461777,-7833136,1
65,-3362707,-8388608,-4673301,-8388608,-8388608,-6173769,-6431737,-7798702,1
66,-3301134,-4754758,-4563516,-4964471,-4040314,-5897392,-5642664,-7763739,1
67,-3267846,-368151,-4397596,-482754,11628,-4032695,-3775749,-7775812,1
68,-3283801,-864571,-4356855,-712512,-1049952,-2939191,-3024927,-7812892,1
69,-3344905,-6261686,-4512672,-5987659,-6671139,-4020423,-4463363,-7833397,1
70,-3362956,-8388608,-4673695,-8388608,-8388608,-6173942,-6430667,-7798949,1
71,-3301236,-4748779,-4563572,-4958554,-4034791,-5894762,-5639622,-7763901,1
72,-3268029,-366823,-4397787,-481625,12344,-4030657,-3773469,-7776016,1
73,-3284062,-868086,-4357252,-716136,-1053182,-2939375,-3024444,-7813091,1
74,-3345176,-6265590,-4513192,-5991721,-6674677,-4021875,-4465010,-7833532,1
75,-3363144,-8388608,-4674069,-8388608,-8388608,-6173997,-6431636,-7799061,1
76,-3301504,-4744674,-4563886,-4954490,-4030338,-5892896,-5637385,-7764131,1
77,-3268326,-365496,-4398138,-479773,13771,-4028797,-3771199,-7776272,1
78,-3284526,-870856,-4357878,-718640,-1056759,-2939381,-3024394,-7813416,1
79,-3363652,-8388608,-4674729,-8388608,-8388608,-6176001,-6431877,-7799475,1
80,-3301854,-4739397,-4564227,-4949231,-4025194,-5892009,-5635224,-7764450,1
81,-3268696,-363076,-4398528,-477362,15669,-4027817,-3770157,-7776499,1
82,-3284952,-874534,-4358458,-722476,-1059862,-2940390,-3025213,-7813627,1
83,-3346172,-6275866,-4514742,-6002182,-6684424,-4027382,-4470099,-7834144,1
84,-3363981,-8388608,-4675239,-8388608,-8388608,-6177471,-6433484,-7799702,1
85,-3302271,-4733974,-4564642,-4943806,-4018998,-5890842,-5632888,-7764739,1
86,-3269212,-359950,-4399037,-473956,18681,-4026391,-3767424,-7776849,1
