,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3201617,-2988866,-4610551,-3540431,-2372386,-5559232,-4904884,-7608252,1
1,-3199743,12556,-4473625,-64299,96397,-3480561,-2541721,-7673527,1
2,-3203385,-2411994,-4475817,-2077223,-2620536,-2926217,-2782893,-7672582,1
3,-3210532,-7344907,-4629347,-6988595,-7577596,-4579613,-5643165,-7589429,1
4,-3209452,-8331041,-4744889,-8388608,-8105826,-6607396,-7529177,-7531384,1
5,-3201947,-2983155,-4610339,-3534431,-2366271,-5555703,-4901541,-7608607,1
6,-3199997,11639,-4473436,-64384,95481,-3480571,-2540334,-7673732,1
7,-3203751,-2417091,-4475870,-2082060,-2625746,-2928180,-2784551,-7672831,1
8,-3210957,-7349121,-4629592,-6993749,-7581456,-4581682,-5647272,-7589668,1
9,-3209898,-8328532,-4744983,-8388608,-8102884,-6606657,-7529834,-7531767,1
10,-3202524,-2976876,-4610376,-3528249,-2359879,-5554242,-4898716,-7609206,1
11,-3200578,11534,-4473613,-64109,95309,-3483048,-2540071,-7674227,1
12,-3204263,-2421538,-4476092,-2086307,-2630064,-2932234,-2786629,-7673178,1
13,-3210410,-8325568,-4745132,-8388608,-8099009,-6606318,-7529807,-7532198,1
14,-3203021,-2969299,-4610312,-3520691,-2351750,-5552478,-4894736,-7609739,1
15,-3201076,13094,-4473617,-61782,96605,-3483514,-2538283,-7674716,1
16,-3204734,-2425027,-4476206,-2089214,-2633837,-2934497,-2787843,-7673566,1
17,-3211854,-7358718,-4630152,-7004076,-7590248,-4589164,-5655896,-7590135,1
18,-3210712,-8322939,-4745080,-8388608,-8095887,-6608789,-7529728,-7532452,1
19,-3203364,-2963899,-4610115,-3514223,-2346407,-5552781,-4891347,-7610117,1
20,-3201409,13337,-4473479,-60857,96728,-3483476,-2536348,-7675041,1
21,-3205071,-2428092,-4476165,-2091862,-2637098,-2934718,-2788564,-7673844,1
22,-3212212,-7362414,-4630276,-7007961,-7593597,-4592158,-5659150,-7590357,1
23,-3210978,-8319864,-4744922,-8388608,-8092094,-6610496,-7528642,-7532737,1
24,-3203668,-2958304,-4609880,-3509630,-2341402,-5550403,-4888157,-7610497,1
25,-3201821,11408,-4473521,-62534,93907,-3481032,-2536924,-7675386,1
26,-3205523,-2434231,-4476367,-2097694,-2643728,-2934417,-2791406,-7674131,1
27,-3212669,-7367193,-4630587,-7012982,-7598084,-4595425,-5663394,-7590571,1
28,-3211462,-8317219,-4745049,-8388608,-8088973,-6612469,-7528294,-7533122,1
29,-3204086,-2952806,-4609788,-3504404,-2336519,-5549106,-4885269,-7610899,1
30,-3202249,12482,-4473527,-61687,94928,-3482033,-2535859,-7675739,1
31,-3205917,-2435020,-4476380,-2098474,-2644372,-2936274,-2791355,-7674417,1
32,-3213002,-7369595,-4630675,-7015566,-7600437,-4594321,-5666107,-7590691,1
33,-3211834,-8315766,-4745147,-8388608,-8087139,-6608231,-7529607,-7533313,1
34,-3204550,-2948479,-4609837,-3500427,-2332741,-5547799,-4883719,-7611286,1
35,-3202692,13604,-4473593,-60341,95723,-3484361,-2535669,-7676069,1
36,-3206439,-2436368,-4476565,-2099852,-2645712,-2939034,-2792152,-7674766,1
37,-3213517,-7372080,-4630931,-7018217,-7602674,-4594865,-5668327,-7590949,1
38,-3212266,-8314251,-4745224,-8388608,-8085390,-6606296,-7530172,-7533558,1
39,-3204981,-2944131,-4609804,-3496827,-2329479,-5547121,-4881426,-7611608,1
40,-3206954,-2438894,-4476740,-2102015,-2648088,-2942295,-2792811,-7675133,1
41,-3214045,-7374703,-4631239,-7021205,-7605051,-4597363,-5671262,-7591245,1
42,-3212871,-8311590,-4745473,-8388608,-8081919,-6605522,-7529846,-7534036,1
43,-3205646,-2938546,-4609934,-3490572,-2322200,-5544909,-4878409,-7612270,1
44,-3203886,13062,-4473950,-59276,94872,-3487718,-2533904,-7677061,1
45,-3207618,-2441704,-4477056,-2104120,-2651025,-2944539,-2793866,-7675650,1
46,-3214658,-7376208,-4631533,-7022681,-7606513,-4597679,-5673229,-7591647,1
47,-3213321,-8310508,-4745551,-8388608,-8080499,-6604561,-7530564,-7534294,1
48,-3206018,-2934993,-4609854,-3487646,-2318467,-5544661,-4876951,-7612524,1
49,-3204273,12544,-4473939,-59551,93888,-3489896,-2533510,-7677301,1
50,-3207966,-2444314,-4477086,-2106979,-2653716,-2947451,-2795021,-7675805,1
51,-3214987,-7377887,-4631633,-7025077,-7608162,-4598816,-5675548,-7591721,1
52,-3213782,-8309224,-4745738,-8388608,-8079046,-6602943,-7531548,-7534544,1
53,-3206572,-2931222,-4609981,-3483457,-2315231,-5542022,-4875001,-7612966,1
54,-3204795,11495,-4474107,-60088,91890,-3486388,-2533399,-7677649,1
55,-3208477,-2447938,-4477319,-2111044,-2657646,-2945515,-2796644,-7676083,1
56,-3215427,-7379639,-4631821,-7027037,-7609641,-4598796,-5677459,-7591886,1
57,-3214275,-8307758,-4745891,-8388608,-8077299,-6603371,-7531644,-7534832,1
58,-3207097,-2926807,-4610029,-3478019,-2310956,-5541484,-4872996,-7613377,1
59,-3205238,11819,-4474125,-59045,91686,-3487914,-2532306,-7677956,1
60,-3208931,-2451378,-4477481,-2114712,-2661288,-2947917,-2797936,-7676347,1
61,-3215941,-7382871,-4632137,-7030429,-7612301,-4600912,-5680304,-7592171,1
62,-3214678,-8305926,-4746009,-8388608,-8074724,-6603804,-7532412,-7535091,1
63,-3207446,-2921542,-4609926,-3472722,-2305592,-5541104,-4870394,-7613663,1
64,-3205661,11672,-4474123,-58057,90675,-3489291,-2530839,-7678269,1
