,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3548859,626389,-4184249,537042,740736,-3028917,-2750158,-7939244,1
1,-3571057,-1838072,-4196537,-1468342,-2152048,-2592247,-2792487,-7959363,1
2,-3611117,-7599216,-4380159,-7247272,-7888101,-4667536,-5261391,-7922034,1
3,-3597194,-7858339,-4459614,-8019550,-7545187,-6375493,-6515652,-7877102,1
4,-3557562,-2579179,-4311741,-3010892,-1931036,-5001729,-4582897,-7899608,1
5,-3548732,626936,-4184729,539198,739999,-3026414,-2747457,-7939329,1
6,-3570921,-1851719,-4197347,-1480674,-2166547,-2594854,-2795645,-7959252,1
7,-3610956,-7607923,-4381146,-7256531,-7895700,-4674709,-5267618,-7921836,1
8,-3596873,-7850741,-4460032,-8013084,-7536422,-6377403,-6514869,-7876989,1
9,-3557206,-2564633,-4311792,-2996946,-1916401,-4997206,-4577739,-7899554,1
10,-3548529,628752,-4185069,542148,740750,-3022539,-2745477,-7939338,1
11,-3570976,-1865930,-4198327,-1494241,-2180608,-2596920,-2800146,-7959322,1
12,-3610966,-7618005,-4382322,-7267857,-7904509,-4681234,-5275087,-7921786,1
13,-3596698,-7843005,-4460562,-8006608,-7527321,-6377303,-6514085,-7877021,1
14,-3556965,-2551574,-4311967,-2984467,-1904293,-4991706,-4572306,-7899591,1
15,-3548308,630106,-4185426,544555,740444,-3019020,-2742384,-7939307,1
16,-3570818,-1878201,-4199077,-1505364,-2194120,-2598833,-2802834,-7959211,1
17,-3610711,-7626672,-4383198,-7277366,-7912146,-4686169,-5281077,-7921507,1
18,-3596256,-7836872,-4460886,-8001424,-7520165,-6377235,-6513655,-7876776,1
19,-3556669,-2539521,-4312142,-2972234,-1894037,-4987212,-4567876,-7899561,1
20,-3548086,631332,-4185756,547301,739841,-3015774,-2739975,-7939287,1
21,-3570678,-1892156,-4199862,-1518097,-2208734,-2601288,-2806690,-7959114,1
22,-3610609,-7635756,-4384211,-7287237,-7919864,-4692646,-5286940,-7921426,1
23,-3596040,-7829120,-4461283,-7994674,-7511040,-6376712,-6511154,-7876864,1
24,-3547883,631229,-4186141,548101,739202,-3012844,-2738114,-7939334,1
25,-3570613,-1905889,-4200730,-1530989,-2222291,-2603802,-2810623,-7959123,1
26,-3610462,-7644603,-4385192,-7297298,-7927528,-4698827,-5293394,-7921294,1
27,-3595655,-7821595,-4461594,-7988043,-7502103,-6377032,-6510011,-7876729,1
28,-3556041,-2515787,-4312307,-2948005,-1870695,-4978231,-4557237,-7899599,1
29,-3547576,632763,-4186282,551151,739157,-3009489,-2733605,-7939359,1
30,-3570346,-1919462,-4201292,-1543889,-2237564,-2605872,-2812886,-7959054,1
31,-3610124,-7654554,-4385986,-7308424,-7936351,-4705231,-5299536,-7921051,1
32,-3595286,-7813124,-4461864,-7980709,-7492402,-6376371,-6507782,-7876767,1
33,-3555806,-2502961,-4312420,-2935480,-1860221,-4971882,-4551645,-7899837,1
34,-3547289,633507,-4186496,552914,738202,-3004484,-2731073,-7939469,1
35,-3569987,-1932167,-4201754,-1555039,-2250765,-2606122,-2815724,-7958936,1
36,-3609752,-7663366,-4386674,-7317957,-7944139,-4710931,-5305452,-7920845,1
37,-3594846,-7807081,-4462107,-7975773,-7485381,-6377580,-6506979,-7876718,1
