,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3764963,-5235396,-4979278,-4832479,-5654378,-4498171,-4373114,-8007756,1
1,-3764687,-8388608,-5176238,-8388608,-8388608,-5734799,-7870377,-7898944,1
2,-3765939,-6249081,-5156956,-6661066,-5472659,-6113020,-7132565,-7937027,1
3,-3767256,-570087,-4968745,-968139,-37256,-5112117,-3665919,-8040445,1
4,-3765589,-619247,-4891742,-459604,-779225,-4319262,-2543966,-8065635,1
5,-3765524,-5233499,-4979445,-4831170,-5652116,-4499397,-4371912,-8008047,1
6,-3765247,-8388608,-5176442,-8388608,-8388608,-5732495,-7869273,-7899236,1
7,-3766607,-6247622,-5157326,-6659454,-5469702,-6109679,-7132114,-7937431,1
8,-3767961,-567637,-4969081,-964800,-34614,-5110939,-3664811,-8040888,1
9,-3766347,-623053,-4892224,-463107,-783746,-4319762,-2545259,-8066026,1
10,-3766417,-5232962,-4979988,-4831073,-5651273,-4499211,-4371590,-8008626,1
11,-3766056,-8388608,-5176901,-8388608,-8388608,-5730824,-7868247,-7899761,1
12,-3767261,-6247127,-5157684,-6658932,-5471196,-6108343,-7132034,-7937770,1
13,-3768491,-565634,-4969211,-962089,-35992,-5110602,-3663270,-8041142,1
14,-3766939,-5234203,-4980211,-4832451,-5652122,-4500204,-4372319,-8008835,1
15,-3766626,-8388608,-5177204,-8388608,-8388608,-5732064,-7869491,-7900009,1
16,-3767918,-6244517,-5158021,-6657012,-5468054,-6108585,-7132091,-7938147,1
17,-3769195,-562298,-4969471,-958173,-33827,-5106231,-3661412,-8041628,1
18,-3767591,-627852,-4892797,-467763,-789282,-4313900,-2545870,-8066709,1
19,-3767576,-5235764,-4980541,-4834659,-5653782,-4496665,-4373056,-8009226,1
20,-3767274,-8388608,-5177482,-8388608,-8388608,-5740394,-7868675,-7900427,1
21,-3768467,-6243921,-5158220,-6655482,-5465944,-6120222,-7130844,-7938465,1
22,-3769827,-561931,-4969746,-956157,-32360,-5096619,-3660172,-8042096,1
23,-3768150,-636074,-4893149,-475552,-798295,-4288522,-2548541,-8067034,1
24,-3768232,-5242571,-4981064,-4842453,-5660352,-4478283,-4377356,-8009620,1
25,-3767890,-8388608,-5177727,-8388608,-8388608,-5749709,-7868189,-7900839,1
26,-3769049,-6242522,-5158358,-6653817,-5463774,-6137231,-7128596,-7938819,1
27,-3770371,-561239,-4969915,-955328,-31931,-5091902,-3659421,-8042406,1
28,-3768809,-642613,-4893585,-482153,-804847,-4270479,-2550952,-8067403,1
29,-3768896,-5247477,-4981542,-4848178,-5665571,-4465109,-4380314,-8009974,1
30,-3768536,-8388608,-5177976,-8388608,-8388608,-5751491,-7867602,-7901225,1
31,-3769702,-6243612,-5158657,-6653829,-5463159,-6142233,-7128120,-7939201,1
32,-3771097,-562750,-4970388,-955820,-31894,-5090155,-3659582,-8042884,1
33,-3769590,-644030,-4894089,-483233,-807004,-4265561,-2551227,-8067961,1
