,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3527806,-5745142,-4235556,-6131203,-5203166,-5989301,-5764976,-7720157,1
1,-3513347,-347543,-4076724,-712978,45402,-3648616,-3220880,-7783097,1
2,-3523071,-20337,-4014253,136278,-108058,-2215788,-2191374,-7826766,1
3,-3545272,-4283447,-4093077,-3809063,-4614577,-2987249,-3422281,-7815724,1
4,-3556192,-8388608,-4261119,-8289795,-8388608,-5633725,-6105754,-7739297,1
5,-3527711,-5767451,-4236189,-6152407,-5226856,-5994349,-5773712,-7719964,1
6,-3513101,-358006,-4077198,-725870,37036,-3655698,-3226751,-7782791,1
7,-3522781,-12697,-4014262,142338,-99396,-2216611,-2189369,-7826649,1
8,-3544969,-4263984,-4092590,-3789724,-4594545,-2980163,-3412578,-7815882,1
9,-3555897,-8388608,-4260653,-8282739,-8388608,-5626116,-6098583,-7739439,1
10,-3527482,-5789496,-4236676,-6172798,-5251609,-6001212,-5782164,-7719667,1
11,-3512701,-370367,-4077536,-739411,25959,-3664166,-3234151,-7782354,1
12,-3522325,-6113,-4014137,147179,-91889,-2217837,-2189526,-7826364,1
13,-3544467,-4244625,-4091921,-3771459,-4574414,-2972328,-3404016,-7815865,1
14,-3555666,-8388608,-4260195,-8275961,-8388608,-5616608,-6091609,-7739714,1
15,-3527381,-5812277,-4237232,-6193713,-5276746,-6006984,-5790766,-7719576,1
16,-3512449,-383235,-4078029,-754238,15149,-3673494,-3240881,-7782106,1
17,-3521974,-686,-4014116,152271,-85722,-2220210,-2188351,-7826223,1
18,-3544109,-4227811,-4091437,-3754137,-4556884,-2965406,-3395595,-7816016,1
19,-3555374,-8388608,-4259758,-8269845,-8388608,-5606337,-6084781,-7739946,1
20,-3527227,-5833301,-4237745,-6213210,-5300106,-6010747,-5798239,-7719462,1
21,-3512181,-394947,-4078494,-767351,4863,-3681914,-3247479,-7781873,1
22,-3543694,-4210746,-4090918,-3737364,-4539475,-2959718,-3387412,-7816135,1
23,-3555037,-8388608,-4259287,-8263969,-8388608,-5600431,-6078524,-7740136,1
24,-3526892,-5854304,-4238080,-6232466,-5323052,-6017251,-5806269,-7719175,1
25,-3511736,-407634,-4078816,-781512,-5447,-3690046,-3255079,-7781484,1
26,-3521073,15246,-4013887,164696,-68182,-2223210,-2187144,-7825869,1
27,-3543146,-4193152,-4090272,-3720179,-4521738,-2953343,-3379948,-7816127,1
28,-3554632,-8388608,-4258786,-8258268,-8388608,-5593836,-6072721,-7740206,1
29,-3526479,-5872716,-4238265,-6249251,-5343927,-6021417,-5812542,-7718822,1
30,-3511139,-418553,-4078910,-793723,-15357,-3695845,-3261296,-7780989,1
31,-3520550,20433,-4013722,168851,-61751,-2223867,-2187402,-7825644,1
32,-3542548,-4177244,-4089614,-3704536,-4505255,-2947096,-3373156,-7816063,1
33,-3553987,-8388608,-4258050,-8252035,-8388608,-5587017,-6067176,-7740026,1
34,-3525990,-5890957,-4238381,-6265461,-5363890,-6026019,-5819414,-7718415,1
35,-3510614,-430956,-4079106,-807359,-25620,-3703273,-3268562,-7780582,1
36,-3520012,27890,-4013549,174539,-54124,-2225529,-2187467,-7825429,1
37,-3542075,-4159762,-4089039,-3687552,-4487815,-2940732,-3365789,-7816154,1
38,-3553769,-8388608,-4257730,-8246568,-8388608,-5579132,-6062409,-7740322,1
39,-3525772,-5910291,-4238789,-6283407,-5385924,-6030447,-5827406,-7718281,1
40,-3510251,-443266,-4079476,-821485,-37103,-3711434,-3276154,-7780312,1
41,-3519522,34655,-4013419,178971,-45865,-2227216,-2187775,-7825233,1
42,-3541566,-4141877,-4088435,-3670805,-4468986,-2933916,-3357925,-7816202,1
43,-3553398,-8388608,-4257259,-8240535,-8388608,-5571467,-6055414,-7740481,1
44,-3525467,-5930755,-4239142,-6301710,-5408416,-6035972,-5834064,-7718092,1
45,-3509970,-456949,-4079984,-836487,-48352,-3720400,-3283683,-7780138,1
46,-3519215,42380,-4013491,185749,-36733,-2229492,-2187728,-7825219,1
47,-3541126,-4122489,-4087866,-3651801,-4449234,-2927042,-3349329,-7816345,1
48,-3553091,-8388608,-4256862,-8234102,-8388608,-5564337,-6049637,-7740677,1
49,-3509708,-468945,-4080467,-850195,-58389,-3728921,-3290385,-7779963,1
50,-3518841,49413,-4013472,190844,-29596,-2231485,-2187316,-7825142,1
