,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3847744,-7529612,-5142919,-7218774,-7771664,-5272115,-5935471,-8232334,1
1,-3850552,-8388608,-5274374,-8388608,-8306963,-7753237,-7948257,-8177259,1
2,-3849052,-3183389,-5133514,-3734647,-2415995,-6100626,-5574678,-8266174,1
3,-3845446,483583,-4979982,399813,588033,-3452697,-3154717,-8332028,1
4,-3844645,-2252134,-4976349,-1891591,-2521038,-2935121,-3189937,-8324621,1
5,-3849032,-7515047,-5142601,-7202787,-7757872,-5252960,-5921135,-8232976,1
6,-3852033,-8388608,-5274937,-8388608,-8318258,-7741542,-7947134,-8177605,1
7,-3850527,-3207713,-5134877,-3759612,-2440578,-6110333,-5585744,-8266103,1
8,-3846846,485017,-4980887,398173,591542,-3459567,-3157932,-8332154,1
9,-3845947,-2230195,-4976561,-1870675,-2498630,-2931236,-3182942,-8324966,1
10,-3850286,-7499596,-5142197,-7186399,-7743577,-5242386,-5906339,-8233547,1
11,-3853197,-8388608,-5275108,-8388608,-8329018,-7743881,-7945104,-8177571,1
12,-3851671,-3230706,-5135801,-3780512,-2464734,-6120007,-5595511,-8265740,1
13,-3847875,487371,-4981269,398822,595926,-3461354,-3159387,-8332026,1
14,-3846940,-2206797,-4976344,-1847479,-2474576,-2923883,-3174899,-8325116,1
15,-3851423,-7485262,-5141759,-7170494,-7730321,-5225211,-5893279,-8234030,1
16,-3854347,-8388608,-5275411,-8388608,-8338420,-7731786,-7944991,-8177561,1
17,-3852738,-3251566,-5136654,-3801249,-2483792,-6126152,-5604944,-8265385,1
18,-3849072,489018,-4981843,398296,600296,-3465605,-3161647,-8332099,1
19,-3848251,-2186147,-4976497,-1827742,-2452564,-2918789,-3168252,-8325568,1
20,-3852668,-7470743,-5141349,-7154546,-7716872,-5215668,-5879377,-8234605,1
21,-3855533,-8388608,-5275612,-8388608,-8348198,-7733858,-7943075,-8177567,1
22,-3853999,-3275632,-5137682,-3824783,-2507423,-6135109,-5614661,-8265209,1
23,-3850297,489289,-4982496,396122,603056,-3468239,-3164382,-8332207,1
24,-3849415,-2164599,-4976494,-1807082,-2430631,-2912249,-3160996,-8325930,1
25,-3856711,-8388608,-5275902,-8388608,-8358347,-7725444,-7943237,-8177612,1
26,-3855186,-3298497,-5138657,-3846621,-2530116,-6145651,-5625167,-8264980,1
27,-3851586,490501,-4983172,395293,606551,-3476525,-3167537,-8332369,1
28,-3850581,-2142061,-4976450,-1786235,-2407481,-2909490,-3154046,-8326279,1
29,-3854852,-7439603,-5140170,-7120792,-7688383,-5188717,-5850999,-8235602,1
30,-3857716,-8388608,-5275882,-8388608,-8367414,-7727093,-7941187,-8177508,1
31,-3856312,-3320236,-5139501,-3868691,-2550568,-6155045,-5634532,-8264721,1
32,-3852773,491788,-4983726,393821,610450,-3481132,-3170260,-8332442,1
33,-3851751,-2119376,-4976369,-1764181,-2383594,-2904721,-3146592,-8326647,1
34,-3856052,-7422833,-5139609,-7102628,-7672837,-5169111,-5836254,-8236263,1
35,-3858968,-8388608,-5276198,-8388608,-8377502,-7716781,-7941147,-8177654,1
36,-3857416,-3341891,-5140335,-3888974,-2571791,-6164197,-5644665,-8264443,1
37,-3853763,492848,-4984003,393517,613136,-3487842,-3172340,-8332361,1
38,-3852767,-2099580,-4976157,-1744854,-2364042,-2901477,-3139792,-8326880,1
39,-3857047,-7408749,-5138931,-7087006,-7659872,-5158076,-5822891,-8236686,1
40,-3859999,-8388608,-5276208,-8388608,-8386681,-7716805,-7939601,-8177626,1
41,-3858592,-3360277,-5141144,-3907904,-2592304,-6174134,-5653774,-8264299,1
42,-3854975,495156,-4984468,393962,616320,-3491576,-3174745,-8332544,1
43,-3853835,-2078241,-4975939,-1724086,-2341823,-2895946,-3132763,-8327200,1
44,-3858187,-7392977,-5138322,-7069941,-7645297,-5143952,-5808759,-8237307,1
45,-3861122,-8388608,-5276369,-8388608,-8388608,-7709997,-7939825,-8177699,1
46,-3859611,-3381851,-5141887,-3929358,-2613564,-6181809,-5664583,-8263987,1
47,-3855968,496624,-4984800,393444,619722,-3496531,-3178048,-8332458,1
48,-3854967,-2055511,-4975818,-1702249,-2318069,-2891539,-3126209,-8327558,1
49,-3859239,-7376029,-5137568,-7051364,-7629499,-5129097,-5793895,-8237864,1
50,-3862144,-8388608,-5276386,-8388608,-8388608,-7704288,-7938869,-8177669,1
51,-3860659,-3404879,-5142647,-3951078,-2635534,-6190390,-5675063,-8263689,1
52,-3857007,496500,-4985144,391818,621876,-3502063,-3181005,-8332447,1
53,-3855946,-2034777,-4975530,-1682451,-2296256,-2887323,-3119069,-8327807,1
54,-3860180,-7358690,-5136661,-7032491,-7613049,-5111870,-5778389,-8238359,1
55,-3863045,-8388608,-5276212,-8388608,-8388608,-7696611,-7937541,-8177576,1
56,-3861674,-3427824,-5143362,-3974096,-2659554,-6199744,-5685496,-8263386,1
57,-3856927,-2013869,-4975206,-1663237,-2273862,-2883335,-3112243,-8328076,1
58,-3861195,-7339952,-5135762,-7012525,-7595571,-5096338,-5762292,-8238970,1
59,-3864181,-8388608,-5276208,-8388608,-8388608,-7690262,-7935387,-8177759,1
60,-3862741,-3451240,-5144081,-3997547,-2682140,-6209116,-5696179,-8263162,1
61,-3859183,495965,-4985868,386466,625685,-3513841,-3187496,-8332621,1
62,-3857927,-1994763,-4974904,-1645102,-2253603,-2879320,-3105807,-8328399,1
63,-3862087,-7322815,-5134746,-6993976,-7579512,-5084988,-5746209,-8239475,1
64,-3865019,-8388608,-5275904,-8388608,-8388608,-7690345,-7933041,-8177626,1
65,-3863576,-3475558,-5144585,-4021687,-2707446,-6218104,-5706468,-8262738,1
66,-3860052,495351,-4986004,383493,626628,-3516213,-3190652,-8332556,1
67,-3858831,-1975047,-4974509,-1625849,-2233862,-2873462,-3099724,-8328645,1
68,-3863062,-7306352,-5133881,-6975609,-7563857,-5067162,-5732412,-8240039,1
69,-3866001,-8388608,-5275774,-8388608,-8388608,-7679256,-7932544,-8177662,1
70,-3864685,-3498004,-5145317,-4044504,-2729977,-6226878,-5717396,-8262591,1
71,-3861164,495846,-4986337,381627,629314,-3524379,-3194067,-8332720,1
72,-3859950,-1952997,-4974268,-1604860,-2210702,-2871157,-3093106,-8329130,1
73,-3863977,-7288873,-5132853,-6956741,-7547596,-5057982,-5716651,-8240586,1
74,-3866804,-8388608,-5275347,-8388608,-8388608,-7681529,-7929726,-8177551,1
75,-3865581,-3522561,-5145807,-4067952,-2752712,-6235434,-5728062,-8262263,1
76,-3862021,494278,-4986489,377661,631005,-3528134,-3198861,-8332614,1
77,-3860677,-1934280,-4973732,-1587229,-2190418,-2866441,-3088106,-8329167,1
78,-3864828,-7272693,-5131945,-6939562,-7532435,-5037995,-5703938,-8240990,1
79,-3867816,-8388608,-5275346,-8388608,-8388608,-7669347,-7930020,-8177592,1
80,-3866608,-3540687,-5146419,-4085812,-2772561,-6245466,-5737521,-8262078,1
81,-3863064,496769,-4986632,378689,634347,-3535253,-3199941,-8332792,1
82,-3861621,-1912049,-4973248,-1565565,-2167812,-2863109,-3080347,-8329535,1
83,-3865646,-7256078,-5130887,-6921894,-7516986,-5027747,-5689614,-8241436,1
84,-3868666,-8388608,-5275032,-8388608,-8388608,-7668802,-7928431,-8177563,1
85,-3867513,-3564076,-5146920,-4108974,-2797089,-6256037,-5747858,-8261794,1
86,-3864004,496153,-4986779,375584,635736,-3540973,-3202757,-8332854,1
87,-3862571,-1892015,-4972843,-1546596,-2146461,-2859434,-3073621,-8329913,1
88,-3866621,-7239431,-5129967,-6903166,-7501134,-5014139,-5674776,-8242102,1
89,-3869583,-8388608,-5274779,-8388608,-8388608,-7665876,-7926476,-8177651,1
90,-3868413,-3584462,-5147372,-4130158,-2817889,-6267747,-5757863,-8261551,1
91,-3864886,496276,-4986855,373386,637358,-3548714,-3206769,-8332857,1
92,-3863371,-1872407,-4972282,-1527966,-2126271,-2857050,-3067987,-8330129,1
93,-3867396,-7221764,-5128797,-6884333,-7484669,-5002802,-5659852,-8242602,1
94,-3870591,-8388608,-5274579,-8388608,-8388608,-7661957,-7925232,-8177869,1
