,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3419967,-408629,-3967984,-215869,-523977,-2161856,-2196142,-7789287,2
1,-3441858,-4935751,-4065376,-4454759,-5275585,-3237975,-3721910,-7767087,2
2,-3446928,-8388608,-4228092,-8388608,-8388608,-5895534,-6303922,-7685585,2
3,-3417997,-5136791,-4175628,-5558356,-4569066,-5819009,-5512062,-7680692,2
4,-3408451,-169914,-4018300,-475204,142518,-3407074,-3003591,-7748972,2
5,-3419506,-399643,-3968240,-207900,-514155,-2163381,-2195663,-7789204,2
6,-3441384,-4915837,-4065074,-4434714,-5255419,-3229845,-3712057,-7767304,2
7,-3446605,-8388608,-4228138,-8388608,-8388608,-5889295,-6298572,-7685787,2
8,-3417723,-5162356,-4176660,-5581765,-4597094,-5827784,-5522591,-7680432,2
9,-3408016,-181546,-4019085,-487916,133006,-3415894,-3011854,-7748659,2
10,-3418966,-389434,-3968419,-199782,-502507,-2164161,-2195484,-7789040,2
11,-3440771,-4894709,-4064621,-4414099,-5233946,-3220457,-3702473,-7767397,2
12,-3446242,-8388608,-4228104,-8388608,-8388608,-5880514,-6293622,-7685997,2
13,-3417511,-5188870,-4177759,-5606952,-4624873,-5835747,-5534134,-7680270,2
14,-3407716,-192796,-4020042,-501714,124786,-3425928,-3020789,-7748486,2
15,-3418525,-378724,-3968723,-190442,-490189,-2166239,-2195192,-7788951,2
16,-3440310,-4873462,-4064312,-4393280,-5212511,-3212557,-3692643,-7767624,2
17,-3445884,-8388608,-4228085,-8388608,-8388608,-5874843,-6288887,-7686157,2
18,-3417131,-5211426,-4178580,-5627069,-4649142,-5843541,-5543244,-7679945,2
19,-3407172,-202689,-4020646,-512795,116334,-3434001,-3027392,-7748107,2
20,-3418082,-369369,-3968976,-182826,-480363,-2167067,-2194243,-7788914,2
21,-3439852,-4853856,-4064038,-4373834,-5192841,-3204091,-3683258,-7767862,2
22,-3416594,-5233984,-4179264,-5648642,-4672556,-5850922,-5552829,-7679482,2
23,-3406739,-213008,-4021401,-525036,109533,-3443030,-3034860,-7747826,2
24,-3417532,-360263,-3969164,-175972,-469739,-2168739,-2193869,-7788712,2
25,-3439239,-4833942,-4063604,-4354465,-5172261,-3196360,-3673742,-7767910,2
26,-3445136,-8388608,-4228050,-8388608,-8388608,-5861844,-6279456,-7686472,2
27,-3416423,-5256052,-4180288,-5670201,-4696609,-5858383,-5561969,-7679396,2
28,-3406261,-223254,-4022106,-538083,101047,-3451055,-3041891,-7747492,2
29,-3417061,-351946,-3969449,-168714,-459926,-2170069,-2193291,-7788596,2
30,-3438821,-4813943,-4063372,-4334703,-5151968,-3188161,-3664313,-7768171,2
31,-3444827,-8388608,-4228078,-8388608,-8388608,-5855207,-6274766,-7686732,2
32,-3416301,-5279040,-4181364,-5691192,-4720376,-5865752,-5571422,-7679382,2
33,-3406085,-234309,-4023139,-550905,92803,-3459941,-3049690,-7747437,2
34,-3416776,-343949,-3969964,-162240,-451689,-2172085,-2193926,-7788564,2
35,-3438500,-4793892,-4063280,-4315778,-5132352,-3180744,-3655752,-7768435,2
36,-3444695,-8388608,-4228313,-8388608,-8388608,-5849641,-6270834,-7687094,2
37,-3416156,-5302018,-4182436,-5712166,-4743686,-5872992,-5581177,-7679262,2
38,-3405767,-245006,-4024047,-563106,84962,-3466688,-3057821,-7747137,2
39,-3416413,-335008,-3970417,-155269,-441747,-2172367,-2194695,-7788359,2
40,-3438136,-4772122,-4063094,-4294564,-5111038,-3172147,-3646078,-7768594,2
41,-3444426,-8388608,-4228336,-8388608,-8388608,-5843382,-6265021,-7687241,2
