,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-4000651,124856,-4976900,-120647,430313,-4673756,-3166518,-8229342,2
1,-3998037,-1294347,-4933157,-1039519,-1541848,-3895826,-2681749,-8236928,2
2,-3996759,-6387744,-5058017,-6020141,-6767679,-4596856,-5175706,-8156559,2
3,-3996611,-8388608,-5236706,-8388608,-8388608,-6277094,-8254499,-8064198,2
4,-4000451,-4857023,-5156854,-5353383,-3949062,-6172979,-6395369,-8138057,2
5,-4001170,124478,-4977345,-121534,430019,-4673402,-3167067,-8229518,2
6,-3998519,-1294712,-4933609,-1040091,-1541754,-3895800,-2682499,-8237084,2
7,-3997229,-6390559,-5058567,-6022970,-6770409,-4597732,-5178675,-8156695,2
8,-3997106,-8388608,-5237264,-8388608,-8388608,-6279427,-8256996,-8064377,2
9,-4000906,-4852676,-5157169,-5349152,-3942305,-6174060,-6394022,-8138234,2
10,-4001614,126676,-4977582,-118276,432469,-4671921,-3164535,-8229696,2
11,-3999029,-1293541,-4933951,-1038781,-1540921,-3893648,-2680874,-8237346,2
12,-3997831,-6390902,-5059095,-6023597,-6770700,-4597359,-5178890,-8157016,2
13,-4001426,-4851372,-5157527,-5347384,-3941084,-6174596,-6393019,-8138507,2
14,-4002147,127278,-4977982,-117112,432910,-4671852,-3163748,-8229959,2
15,-3999511,-1292673,-4934329,-1037702,-1540544,-3893431,-2680160,-8237571,2
16,-3998232,-8388608,-5238236,-8388608,-8388608,-6282079,-8258077,-8064939,2
17,-4001989,-4849146,-5157937,-5345656,-3936914,-6174745,-6392203,-8138803,2
18,-4002572,128690,-4978237,-115583,434698,-4671342,-3162200,-8230146,2
19,-3999957,-1293416,-4934666,-1038398,-1541162,-3893576,-2679803,-8237766,2
20,-3998799,-6391602,-5059920,-6024349,-6771266,-4598829,-5179399,-8157439,2
21,-3998629,-8388608,-5238573,-8388608,-8388608,-6284610,-8258996,-8065071,2
22,-4002378,-4844548,-5158100,-5341708,-3934229,-6177547,-6390347,-8139029,2
23,-4003013,131584,-4978442,-112619,435664,-4675564,-3159895,-8230411,2
24,-4000302,-1292047,-4934820,-1037136,-1539616,-3898333,-2678216,-8237924,2
25,-3998976,-6391407,-5059939,-6023802,-6771054,-4602091,-5178760,-8157435,2
26,-3998859,-8388608,-5238681,-8388608,-8388608,-6286345,-8259406,-8065106,2
27,-4002681,-4842917,-5158253,-5340359,-3932683,-6179176,-6389894,-8139148,2
28,-4003451,133436,-4978687,-110650,436845,-4678262,-3158457,-8230673,2
29,-4000857,-1290971,-4935205,-1036474,-1538495,-3901609,-2677216,-8238301,2
30,-3999585,-6390625,-5060393,-6023046,-6770277,-4603601,-5178288,-8157861,2
31,-3999473,-8388608,-5239151,-8388608,-8388608,-6287188,-8259223,-8065517,2
32,-4003243,-4842235,-5158657,-5339714,-3932394,-6181127,-6389808,-8139517,2
33,-4003880,134213,-4978909,-109416,437023,-4679884,-3157793,-8230946,2
34,-4001217,-1292052,-4935417,-1037168,-1539424,-3902882,-2677501,-8238483,2
35,-3999769,-6391699,-5060461,-6024172,-6771203,-4605124,-5178302,-8157851,2
36,-3999620,-8388608,-5239134,-8388608,-8388608,-6287783,-8258101,-8065488,2
37,-4003514,-4844332,-5158829,-5341567,-3936426,-6181997,-6390104,-8139586,2
38,-4004146,133506,-4979006,-109815,435747,-4683317,-3157243,-8231078,2
39,-4001488,-1290134,-4935467,-1035322,-1537743,-3906622,-2676274,-8238644,2
40,-4000157,-6389037,-5060579,-6021121,-6768776,-4605080,-5176037,-8158137,2
41,-4000017,-8388608,-5239344,-8388608,-8388608,-6282271,-8257241,-8065761,2
42,-4003849,-4847401,-5159095,-5345216,-3940423,-6178867,-6391671,-8139776,2
43,-4004464,133231,-4979208,-111219,435266,-4685958,-3157907,-8231270,2
44,-4001759,-1289201,-4935597,-1034854,-1536881,-3911659,-2676216,-8238794,2
45,-4000417,-6388620,-5060700,-6020757,-6768286,-4606222,-5176001,-8158299,2
46,-4004249,-4847907,-5159389,-5347272,-3940889,-6174740,-6391971,-8140074,2
47,-4004864,133046,-4979477,-112823,435526,-4687076,-3157707,-8231544,2
48,-4002079,-1290724,-4935792,-1035505,-1538035,-3913944,-2676536,-8238990,2
49,-4000787,-6391098,-5060997,-6022339,-6770239,-4607261,-5177936,-8158559,2
50,-4000658,-8388608,-5239674,-8388608,-8388608,-6273468,-8257211,-8066301,2
51,-4004616,-4845181,-5159482,-5344766,-3939039,-6171439,-6389764,-8140402,2
52,-4005256,134413,-4979608,-111419,435869,-4685804,-3155762,-8231876,2
53,-4002467,-1292405,-4935965,-1036894,-1540404,-3914227,-2675994,-8239300,2
54,-4001080,-6393277,-5061189,-6024667,-6772486,-4607374,-5179351,-8158737,2
55,-4000875,-8388608,-5239772,-8388608,-8388608,-6270843,-8257652,-8066421,2
56,-4004780,-4846977,-5159542,-5346617,-3941021,-6169483,-6389557,-8140469,2
