,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3424167,219374,-4865609,222496,241644,-3259520,-2974744,-8046011,2
1,-3428137,-3099401,-4889565,-2718509,-3414116,-3112288,-3391647,-8031600,2
2,-3431132,-8100329,-5073376,-7848991,-8300669,-5638417,-6308426,-7925181,2
3,-3423345,-8022163,-5156961,-8227451,-7670580,-7499626,-7603558,-7881448,2
4,-3421799,-2296921,-4993582,-2793099,-1612693,-5539724,-4989220,-7981018,2
5,-3425042,224218,-4864882,225908,246699,-3259625,-2974800,-8046461,2
6,-3428782,-3085151,-4888272,-2704604,-3399438,-3106797,-3385614,-8032015,2
7,-3431681,-8092182,-5071774,-7840034,-8293349,-5628493,-6299317,-7925597,2
8,-3423989,-8029314,-5156049,-8233862,-7679273,-7498539,-7605199,-7881609,2
9,-3422499,-2305956,-4992984,-2803851,-1619076,-5544813,-4994788,-7981155,2
10,-3425737,227639,-4864055,227993,251413,-3262385,-2976091,-8046679,2
11,-3429592,-3073721,-4887239,-2692837,-3387728,-3104296,-3381639,-8032516,2
12,-3432377,-8086731,-5070740,-7833484,-8288676,-5625813,-6296754,-7925864,2
13,-3424716,-8038517,-5155757,-8242065,-7690104,-7506815,-7614686,-7881492,2
14,-3423481,-2313530,-4992785,-2812450,-1627545,-5555026,-5002553,-7981563,2
15,-3426357,237666,-4862834,236758,261685,-3262413,-2972443,-8047226,2
16,-3429844,-3051887,-4885336,-2670719,-3366291,-3096179,-3371749,-8032932,2
17,-3432606,-8078629,-5068902,-7824639,-8281786,-5614836,-6289047,-7926161,2
18,-3425069,-8048213,-5154782,-8250216,-7701454,-7506217,-7620014,-7881502,2
19,-3423817,-2328271,-4992072,-2827322,-1639929,-5562343,-5010747,-7981511,2
20,-3426903,240941,-4861967,238693,266609,-3266632,-2974273,-8047587,2
21,-3430389,-3035016,-4883982,-2655049,-3349309,-3092939,-3366047,-8033526,2
22,-3432939,-8069201,-5067167,-7815242,-8273757,-5606679,-6281207,-7926592,2
23,-3425576,-8059053,-5154009,-8258742,-7713206,-7508241,-7625246,-7881637,2
24,-3424501,-2345437,-4991781,-2842752,-1652294,-5570424,-5020154,-7981779,2
25,-3427572,245024,-4861254,241001,272571,-3270016,-2976385,-8048083,2
26,-3430874,-3016577,-4882585,-2638617,-3330931,-3088648,-3359699,-8034087,2
27,-3425976,-8067966,-5153089,-8266421,-7723813,-7511850,-7629361,-7881663,2
28,-3424898,-2360832,-4991193,-2859369,-1666438,-5579724,-5028871,-7981779,2
29,-3427957,247406,-4860357,241299,276517,-3273962,-2979683,-8048249,2
30,-3431289,-2999739,-4881192,-2622476,-3313536,-3084282,-3354550,-8034536,2
31,-3433842,-8049539,-5063863,-7793364,-8256835,-5589622,-6263530,-7927712,2
32,-3426416,-8077857,-5152112,-8275147,-7735286,-7511805,-7631972,-7881756,2
33,-3425318,-2378157,-4990701,-2878101,-1681374,-5587388,-5038177,-7981693,2
34,-3428397,249150,-4859597,241341,280173,-3277761,-2983901,-8048323,2
35,-3431811,-2983654,-4879961,-2606113,-3296533,-3080737,-3349807,-8034954,2
36,-3434622,-8039348,-5062542,-7781118,-8247839,-5582379,-6254898,-7928511,2
37,-3427285,-8087918,-5151696,-8283741,-7747211,-7515369,-7636642,-7882129,2
38,-3426082,-2393378,-4990554,-2893879,-1695290,-5598361,-5047019,-7981864,2
39,-3429232,252039,-4859152,243170,284141,-3284806,-2986481,-8048749,2
40,-3432552,-2967706,-4878922,-2590182,-3280440,-3078567,-3344486,-8035538,2
41,-3435142,-8029377,-5060964,-7769729,-8239254,-5572661,-6245107,-7929022,2
42,-3427879,-8097441,-5150977,-8292122,-7758391,-7516104,-7639957,-7882226,2
43,-3426639,-2407616,-4990176,-2908973,-1707522,-5605959,-5055427,-7981807,2
44,-3429696,254513,-4858329,244319,287836,-3287491,-2988595,-8048792,2
45,-3432997,-2951826,-4877605,-2575158,-3263883,-3074454,-3338952,-8035808,2
46,-3435741,-8019486,-5059547,-7758772,-8230604,-5564589,-6236713,-7929539,2
47,-3428582,-8108692,-5150527,-8301739,-7771552,-7520063,-7645774,-7882332,2
48,-3427433,-2426059,-4990186,-2928261,-1724361,-5616471,-5066143,-7981932,2
49,-3430568,255624,-4858021,243654,290483,-3292379,-2992724,-8049177,2
50,-3433779,-2935578,-4876659,-2560105,-3246915,-3070633,-3334011,-8036357,2
51,-3436507,-8007592,-5058167,-7745584,-8220332,-5553104,-6225796,-7930261,2
52,-3428136,-2442114,-4990032,-2945010,-1738792,-5624051,-5075201,-7981954,2
53,-3431344,257224,-4857566,243910,293388,-3296452,-2995879,-8049467,2
54,-3434681,-2921888,-4875866,-2547019,-3232571,-3068221,-3330111,-8037000,2
55,-3437397,-7998722,-5057041,-7735510,-8212455,-5544216,-6217532,-7931077,2
56,-3430046,-8128990,-5149513,-8319099,-7796058,-7519639,-7653148,-7882637,2
57,-3428927,-2457994,-4990002,-2961038,-1752903,-5631876,-5084489,-7982034,2
58,-3432202,259287,-4857123,245028,296768,-3298915,-2997939,-8049918,2
59,-3435354,-2908617,-4874852,-2534186,-3218870,-3064104,-3325606,-8037499,2
60,-3438022,-7990527,-5055817,-7726357,-8205319,-5536354,-6210204,-7931604,2
61,-3430771,-8137027,-5149046,-8326114,-7805800,-7521217,-7656950,-7882831,2
62,-3429596,-2468372,-4989674,-2972559,-1762194,-5638702,-5091167,-7982151,2
63,-3432684,262400,-4856221,247149,300471,-3300224,-2998172,-8050116,2
64,-3435919,-2894742,-4873687,-2520184,-3204782,-3059504,-3320136,-8038012,2
65,-3438500,-7981582,-5054281,-7715957,-8197504,-5525763,-6200849,-7932176,2
66,-3431227,-8145754,-5148240,-8333520,-7816353,-7519593,-7659264,-7882896,2
67,-3430199,-2479541,-4989268,-2983839,-1772909,-5644097,-5097465,-7982336,2
68,-3433222,265682,-4855268,249649,303824,-3300419,-2997305,-8050585,2
69,-3436177,-2880804,-4872147,-2506975,-3190792,-3054127,-3313727,-8038409,2
70,-3438641,-7973108,-5052629,-7706780,-8190001,-5517639,-6192883,-7932419,2
71,-3431519,-8155753,-5147547,-8342023,-7828572,-7522951,-7665037,-7882815,2
72,-3430564,-2496579,-4988906,-3001546,-1788792,-5654549,-5107803,-7982304,2
73,-3433632,266637,-4854524,249420,306211,-3305685,-3000507,-8050841,2
74,-3436626,-2868185,-4871012,-2494089,-3177302,-3052360,-3309956,-8038936,2
75,-3439202,-7963910,-5051227,-7696034,-8181519,-5508545,-6184077,-7933263,2
76,-3432053,-8166786,-5146838,-8351580,-7842735,-7522042,-7667714,-7883157,2
77,-3431024,-2520185,-4988752,-3026206,-1811949,-5664781,-5119445,-7982277,2
78,-3434167,267036,-4854014,247613,308823,-3312046,-3005458,-8051132,2
79,-3437056,-2854124,-4869867,-2480164,-3162471,-3050527,-3306609,-8039379,2
80,-3439462,-7955013,-5049606,-7685669,-8173491,-5500764,-6176423,-7933706,2
81,-3432259,-8180549,-5146009,-8362964,-7859997,-7524674,-7673366,-7882969,2
82,-3431280,-2549910,-4988609,-3054086,-1842957,-5679280,-5134006,-7981878,2
83,-3434437,268896,-4853199,247283,312873,-3319509,-3009131,-8051262,2
84,-3437301,-2834687,-4868476,-2462449,-3142556,-3048237,-3300994,-8039798,2
85,-3439696,-7944536,-5048060,-7674607,-8164297,-5493945,-6167320,-7934157,2
86,-3431716,-2572409,-4988491,-3075711,-1864069,-5691202,-5145615,-7981919,2
87,-3434793,271461,-4852391,248542,316870,-3324131,-3011543,-8051681,2
88,-3437647,-2815299,-4867128,-2443924,-3123224,-3043545,-3294517,-8040519,2
89,-3440054,-7933893,-5046509,-7663328,-8154831,-5483614,-6157337,-7934976,2
90,-3432912,-8202091,-5144607,-8381084,-7886345,-7528072,-7680626,-7883259,2
91,-3431981,-2593181,-4988144,-3096271,-1884282,-5700067,-5155980,-7981969,2
92,-3435062,272226,-4851652,247604,320037,-3328882,-3015186,-8051974,2
93,-3437855,-2801670,-4865856,-2430438,-3108399,-3040986,-3290438,-8040979,2
94,-3440305,-7925030,-5044997,-7652691,-8146994,-5474946,-6149417,-7935594,2
95,-3433153,-8210983,-5143791,-8388608,-7897649,-7527916,-7684371,-7883431,2
96,-3432126,-2611144,-4987654,-3115421,-1901175,-5708494,-5165677,-7981927,2
97,-3435220,272915,-4850822,246656,322446,-3334419,-3019248,-8052126,2
98,-3437989,-2786406,-4864487,-2414881,-3092499,-3038692,-3286244,-8041344,2
99,-3440458,-7915527,-5043401,-7641687,-8138489,-5467797,-6141495,-7936070,2
100,-3433364,-8217386,-5142885,-8388608,-7905637,-7528716,-7686006,-7883577,2
101,-3432466,-2622289,-4987136,-3127836,-1912024,-5715501,-5171819,-7982142,2
102,-3435631,275899,-4850041,247926,326388,-3337852,-3020786,-8052631,2
103,-3438323,-2772004,-4863275,-2400951,-3077590,-3035671,-3281557,-8041976,2
104,-3440716,-7907186,-5042010,-7632323,-8130810,-5460731,-6134087,-7936642,2
105,-3433585,-8226499,-5142199,-8388608,-7916821,-7531206,-7690633,-7883632,2
106,-3432761,-2639680,-4986856,-3146077,-1928453,-5724076,-5181681,-7982194,2
107,-3435947,276104,-4849429,246596,328402,-3341773,-3024797,-8052884,2
108,-3438578,-2760177,-4862174,-2389436,-3064807,-3033106,-3278433,-8042365,2
109,-3440899,-7899074,-5040626,-7623052,-8123651,-5453669,-6127884,-7937032,2
110,-3433913,-8234589,-5141606,-8388608,-7926916,-7532637,-7694910,-7883758,2
111,-3433064,-2653814,-4986546,-3161212,-1941564,-5732451,-5190867,-7982217,2
112,-3436329,278128,-4848837,246915,331597,-3346004,-3028658,-8053175,2
113,-3438986,-2745737,-4861160,-2375786,-3049659,-3030696,-3274809,-8042903,2
114,-3441371,-7889369,-5039442,-7612642,-8114661,-5446743,-6120357,-7937722,2
115,-3434439,-8243015,-5141212,-8388608,-7937304,-7534754,-7699014,-7884026,2
116,-3433656,-2668732,-4986545,-3176372,-1955677,-5741351,-5199838,-7982463,2
117,-3436910,278357,-4848487,246110,333238,-3352005,-3032646,-8053566,2
118,-3439551,-2733452,-4860369,-2364276,-3036296,-3029607,-3271578,-8043476,2
119,-3441913,-7879757,-5038294,-7601856,-8106094,-5438214,-6111724,-7938434,2
120,-3434907,-8250371,-5140674,-8388608,-7946717,-7534290,-7701455,-7884201,2
121,-3433996,-2681206,-4986202,-3189587,-1967463,-5747862,-5207021,-7982415,2
122,-3439946,-2722166,-4859388,-2353656,-3024648,-3027492,-3267433,-8043973,2
123,-3442332,-7871051,-5037141,-7592132,-8098249,-5432089,-6104587,-7939035,2
124,-3435290,-8258537,-5140172,-8388608,-7956227,-7536966,-7705048,-7884293,2
125,-3434390,-2697086,-4986053,-3206024,-1981882,-5757699,-5215603,-7982402,2
