,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3546704,-1577839,-4262339,-1781499,-760307,-3659602,-3377562,-7848648,2
1,-3555014,-1760159,-4229250,-1687350,-1438259,-2828351,-2833152,-7871536,2
2,-3623670,-5509782,-4347210,-5076812,-5865778,-3730376,-4124422,-7917039,2
3,-3662424,-8031682,-4480527,-7838586,-8033994,-5504712,-5820434,-7918567,2
4,-3598152,-4667544,-4396030,-4919846,-4205912,-5214770,-5007534,-7869632,2
5,-3555067,-1824181,-4228886,-1744219,-1505109,-2837629,-2843496,-7870116,2
6,-3623778,-5532070,-4347119,-5099753,-5887663,-3744785,-4138382,-7915644,2
7,-3663095,-8028375,-4480208,-7837719,-8028140,-5512390,-5825707,-7918269,2
8,-3599199,-4652182,-4395381,-4904975,-4189184,-5212479,-5003883,-7870079,2
9,-3548096,-1614274,-4261015,-1803171,-796859,-3656347,-3376168,-7848256,2
10,-3555982,-1817870,-4228446,-1737757,-1496276,-2835202,-2842151,-7870190,2
11,-3624769,-5530471,-4346751,-5098036,-5885521,-3743415,-4137532,-7915808,2
12,-3664181,-8020299,-4479709,-7830054,-8019472,-5509283,-5822128,-7918642,2
13,-3600127,-4644520,-4394645,-4897159,-4181409,-5207569,-4998754,-7870289,2
14,-3548808,-1599891,-4260163,-1792521,-780102,-3652402,-3372102,-7848222,2
15,-3556644,-1802979,-4227562,-1724621,-1479667,-2831466,-2838250,-7870129,2
16,-3625512,-5522849,-4345831,-5091017,-5877371,-3738441,-4132448,-7915891,2
17,-3664867,-8008787,-4478547,-7818911,-8007679,-5501491,-5814929,-7918740,2
18,-3600736,-4636939,-4393447,-4888994,-4175542,-5199482,-4991944,-7870243,2
19,-3549499,-1615122,-4259348,-1801581,-804151,-3648266,-3369541,-7848091,2
20,-3557292,-1820190,-4226926,-1739110,-1500324,-2830953,-2838415,-7869853,2
21,-3626147,-5522069,-4345081,-5090514,-5875880,-3737807,-4131511,-7915687,2
22,-3665600,-8001558,-4477624,-7812099,-8000107,-5497972,-5810628,-7918778,2
23,-3601385,-4636714,-4392611,-4888298,-4179291,-5196537,-4989319,-7870027,2
24,-3549975,-1656816,-4258799,-1829450,-884542,-3650512,-3372646,-7847408,2
25,-3557724,-1865648,-4226642,-1778829,-1565859,-2838008,-2845642,-7869015,2
26,-3626997,-5523170,-4344819,-5093308,-5875409,-3743111,-4135410,-7915625,2
27,-3666725,-7986683,-4476936,-7798481,-7984299,-5494896,-5806108,-7919384,2
28,-3602307,-4625771,-4391691,-4876876,-4169221,-5189674,-4982756,-7870356,2
29,-3550752,-1658049,-4258031,-1828601,-889479,-3645957,-3369250,-7847402,2
30,-3558443,-1870313,-4226003,-1782262,-1573277,-2836302,-2844686,-7868877,2
31,-3627893,-5522101,-4344312,-5092575,-5873741,-3741740,-4134201,-7915731,2
32,-3667715,-7981399,-4476348,-7793393,-7978647,-5491723,-5802712,-7919682,2
33,-3603142,-4620673,-4390897,-4871404,-4164584,-5185842,-4978581,-7870484,2
34,-3551497,-1658711,-4257266,-1827882,-892570,-3643837,-3366829,-7847369,2
35,-3559076,-1872547,-4225229,-1783627,-1576614,-2835842,-2843589,-7868694,2
36,-3668141,-7976649,-4475210,-7788675,-7973770,-5488442,-5799322,-7919373,2
