,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3891598,-231821,-4966274,-605454,206605,-4409322,-3896980,-8325622,2
1,-3887145,-253379,-4889752,-49012,-399503,-2773971,-2760656,-8349581,2
2,-3888587,-5168126,-4979168,-4737316,-5506968,-3778322,-4308471,-8295119,2
3,-3892469,-8388608,-5175457,-8388608,-8388608,-6921824,-7476874,-8192166,2
4,-3893822,-6164602,-5154141,-6581587,-5532517,-7260437,-6979265,-8227232,2
5,-3891563,-242560,-4966376,-618538,198751,-4420982,-3905590,-8325482,2
6,-3887100,-241501,-4889360,-38577,-385614,-2777355,-2760513,-8349679,2
7,-3888546,-5149867,-4978240,-4718326,-5488817,-3770947,-4299511,-8295525,2
8,-3892488,-8388608,-5174701,-8388608,-8388608,-6914925,-7470935,-8192468,2
9,-3893952,-6183148,-5154343,-6598380,-5552386,-7266507,-6987389,-8227166,2
10,-3891827,-254382,-4966752,-631377,190881,-4428471,-3913039,-8325636,2
11,-3887436,-232032,-4889359,-29935,-375767,-2777436,-2760207,-8350117,2
12,-3888834,-5130740,-4977589,-4698863,-5469954,-3761659,-4289532,-8296241,2
13,-3892628,-8388608,-5174046,-8388608,-8388608,-6905001,-7464649,-8192869,2
14,-3894039,-6203317,-5154605,-6617283,-5575631,-7272598,-6997221,-8226974,2
15,-3891924,-265381,-4966999,-644943,181228,-4439111,-3920797,-8325563,2
16,-3887424,-220896,-4889027,-20341,-362851,-2781042,-2758859,-8350174,2
17,-3888682,-5109910,-4976482,-4677911,-5448951,-3752996,-4278107,-8296500,2
18,-3892483,-8388608,-5173053,-8388608,-8388608,-6896149,-7457577,-8192952,2
19,-3893826,-6222664,-5154506,-6634441,-5596527,-7280090,-7006231,-8226462,2
20,-3891816,-276586,-4967044,-657656,173626,-4449291,-3928961,-8325254,2
21,-3887418,-211294,-4888737,-12116,-352237,-2783624,-2758931,-8350155,2
22,-3888811,-5090721,-4975703,-4658379,-5429663,-3745037,-4268216,-8296940,2
23,-3892626,-8388608,-5172411,-8388608,-8388608,-6886777,-7450598,-8193225,2
24,-3893985,-6242392,-5154839,-6653108,-5619387,-7285061,-7015117,-8226234,2
25,-3891936,-288246,-4967321,-671665,163890,-4457899,-3936870,-8325114,2
26,-3887494,-200168,-4888500,-2757,-339326,-2785674,-2758855,-8350192,2
27,-3888869,-5069470,-4974798,-4637012,-5408232,-3736815,-4257941,-8297311,2
