,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3815816,-8388608,-5248639,-8388608,-8388608,-7259930,-7405878,-8227349,2
1,-3788682,-4017242,-5112099,-4334509,-3200036,-6387838,-6045795,-8273592,2
2,-3779193,533071,-4945871,417301,784319,-4124185,-3901667,-8332470,2
3,-3787444,-1162834,-4919660,-909384,-1468727,-3146933,-3329576,-8348632,2
4,-3815172,-7296562,-5103151,-7038250,-7617194,-4907030,-5395464,-8286181,2
5,-3813159,-8388608,-5246307,-8388608,-8388608,-7266267,-7410026,-8227345,2
6,-3786121,-4007064,-5109443,-4324396,-3188681,-6387832,-6042837,-8273883,2
7,-3776696,533911,-4943414,418750,784308,-4123866,-3900342,-8332744,2
8,-3784986,-1176965,-4917585,-922626,-1483729,-3150816,-3332928,-8348699,2
9,-3812704,-7307740,-5101407,-7050339,-7627389,-4914318,-5401864,-8286064,2
10,-3810626,-8388608,-5244129,-8388608,-8388608,-7267217,-7412027,-8227428,2
11,-3783700,-3999582,-5107035,-4317479,-3181436,-6383937,-6041847,-8274219,2
12,-3774374,533389,-4941247,418449,783129,-4122175,-3901267,-8333002,2
13,-3782884,-1189784,-4915959,-935367,-1496484,-3153801,-3338207,-8348851,2
14,-3810501,-7318082,-5099996,-7061601,-7636617,-4922947,-5412776,-8285909,2
15,-3808241,-8388608,-5242192,-8388608,-8388608,-7274080,-7417426,-8227307,2
16,-3781387,-3989739,-5104761,-4308174,-3171894,-6384083,-6040559,-8274364,2
17,-3772270,534228,-4939297,419859,782298,-4121613,-3901689,-8333284,2
18,-3780916,-1204483,-4914477,-948197,-1512799,-3157066,-3343129,-8349034,2
19,-3808586,-7328953,-5098918,-7072859,-7646764,-4931634,-5421733,-8285937,2
20,-3806244,-8388608,-5240670,-8388608,-8388608,-7278363,-7421408,-8227512,2
21,-3779429,-3980309,-5102848,-4298817,-3161070,-6381749,-6039594,-8274807,2
22,-3770455,534589,-4937655,420728,782609,-4118957,-3901712,-8333746,2
23,-3779211,-1218286,-4913288,-961702,-1526116,-3159255,-3347593,-8349304,2
24,-3806762,-7339961,-5097972,-7084467,-7656145,-4940645,-5430457,-8285872,2
25,-3804346,-8388608,-5239311,-8388608,-8388608,-7285301,-7425317,-8227607,2
26,-3777501,-3971553,-5101073,-4290538,-3153194,-6381411,-6038326,-8275066,2
27,-3768573,535437,-4936041,421858,781857,-4118090,-3902225,-8333954,2
28,-3777544,-1230853,-4912184,-973192,-1539621,-3161715,-3351617,-8349502,2
29,-3804936,-7350506,-5097048,-7095792,-7665736,-4947969,-5435356,-8285732,2
30,-3802397,-8388608,-5237891,-8388608,-8388608,-7289694,-7424389,-8227602,2
31,-3775751,-3962884,-5099484,-4282411,-3144469,-6381111,-6035796,-8275390,2
32,-3767017,536454,-4934729,423336,782024,-4118061,-3903028,-8334409,2
33,-3775994,-1244845,-4911228,-986935,-1554100,-3166062,-3356286,-8349753,2
34,-3800644,-8388608,-5236684,-8388608,-8388608,-7294240,-7429519,-8227727,2
35,-3774060,-3953322,-5097936,-4272456,-3135444,-6379183,-6033717,-8275764,2
36,-3765362,537365,-4933366,424933,781605,-4116931,-3900483,-8334704,2
37,-3774258,-1256397,-4910110,-998359,-1565834,-3168715,-3358615,-8349700,2
38,-3801657,-7371117,-5095699,-7118167,-7684069,-4965582,-5453820,-8285528,2
39,-3798914,-8388608,-5235599,-8388608,-8388608,-7299776,-7433751,-8227676,2
40,-3772372,-3943959,-5096482,-4263488,-3126024,-6378057,-6031979,-8275956,2
41,-3763817,538126,-4932182,426163,781234,-4115134,-3900462,-8334951,2
42,-3772832,-1269824,-4909375,-1011189,-1580284,-3170909,-3363156,-8349834,2
43,-3800005,-7381574,-5095082,-7129374,-7693527,-4974006,-5462502,-8285218,2
44,-3797094,-8388608,-5234441,-8388608,-8388608,-7304640,-7437699,-8227439,2
45,-3770724,-3933791,-5095062,-4253579,-3115475,-6375491,-6030609,-8276103,2
46,-3762357,539184,-4931074,427868,781503,-4112571,-3899872,-8335172,2
47,-3771565,-1282852,-4908792,-1023670,-1592656,-3173229,-3366252,-8349960,2
48,-3798765,-7391634,-5094897,-7140430,-7702128,-4981255,-5469979,-8285123,2
49,-3795786,-8388608,-5233849,-8388608,-8388608,-7307706,-7441282,-8227513,2
50,-3769472,-3924020,-5094104,-4244224,-3105767,-6374086,-6029367,-8276459,2
51,-3761132,540844,-4930226,430114,781545,-4112631,-3900141,-8335507,2
52,-3770445,-1295798,-4908392,-1035947,-1607070,-3176951,-3370857,-8350187,2
53,-3797512,-7401519,-5094690,-7151030,-7711114,-4989047,-5477194,-8285034,2
54,-3794458,-8388608,-5233131,-8388608,-8388608,-7311151,-7442572,-8227607,2
55,-3768250,-3914234,-5093095,-4234629,-3096734,-6371831,-6026710,-8276849,2
56,-3760006,541171,-4929509,430995,780600,-4111070,-3899813,-8335866,2
57,-3769404,-1311469,-4908172,-1051062,-1622406,-3180695,-3375448,-8350298,2
58,-3796443,-7412560,-5094771,-7162857,-7720624,-4998437,-5485949,-8284876,2
59,-3793244,-8388608,-5232700,-8388608,-8388608,-7318006,-7446054,-8227533,2
60,-3758996,544459,-4928861,435256,781741,-4109068,-3897956,-8336214,2
61,-3768479,-1326432,-4908015,-1064849,-1639084,-3182981,-3379515,-8350505,2
62,-3795374,-7424214,-5094927,-7175245,-7731279,-5006624,-5496956,-8284682,2
63,-3792063,-8388608,-5232369,-8388608,-8388608,-7322102,-7452076,-8227489,2
64,-3766049,-3892067,-5091577,-4212005,-3074650,-6369579,-6022532,-8277418,2
65,-3757980,546280,-4928261,438240,782262,-4106897,-3895908,-8336592,2
66,-3767434,-1338607,-4907737,-1076909,-1651481,-3184947,-3381914,-8350667,2
67,-3794264,-7434049,-5095027,-7185954,-7740052,-5014581,-5504732,-8284502,2
68,-3790914,-8388608,-5232193,-8388608,-8388608,-7328742,-7457487,-8227438,2
69,-3765216,-3880762,-5091166,-4201694,-3063409,-6369848,-6021267,-8278027,2
70,-3757259,549884,-4927830,442585,783726,-4104593,-3892724,-8337465,2
71,-3766562,-1349957,-4907511,-1086854,-1663499,-3186121,-3382987,-8351284,2
72,-3792987,-7444255,-5094932,-7196876,-7749199,-5022546,-5512758,-8284395,2
73,-3789487,-8388608,-5231611,-8388608,-8388608,-7333500,-7461490,-8227430,2
74,-3763951,-3870419,-5090291,-4191816,-3052961,-6368285,-6020211,-8278432,2
75,-3756103,550988,-4927163,444199,783639,-4103018,-3893283,-8337919,2
76,-3765494,-1364573,-4907330,-1101372,-1679022,-3189047,-3388354,-8351558,2
77,-3791802,-7455816,-5095028,-7209223,-7759552,-5030586,-5521495,-8284324,2
78,-3788196,-8388608,-5231156,-8388608,-8388608,-7336096,-7464432,-8227541,2
79,-3762722,-3862016,-5089511,-4183202,-3044943,-6365664,-6019038,-8278791,2
80,-3754969,551220,-4926584,445187,782779,-4101942,-3892802,-8338304,2
81,-3764407,-1379376,-4907136,-1114562,-1694696,-3192629,-3391706,-8351772,2
82,-3790672,-7467028,-5095181,-7221097,-7769581,-5039551,-5528119,-8284284,2
83,-3786983,-8388608,-5230819,-8388608,-8388608,-7341810,-7465465,-8227697,2
84,-3761688,-3852947,-5088936,-4174496,-3036460,-6365515,-6017282,-8279320,2
85,-3754040,552010,-4926224,446244,782234,-4101701,-3893491,-8338893,2
86,-3763485,-1393333,-4907138,-1128438,-1709474,-3196412,-3396791,-8352159,2
87,-3789613,-7479004,-5095493,-7233976,-7780261,-5048916,-5536707,-8284258,2
88,-3785718,-8388608,-5230466,-8388608,-8388197,-7345409,-7467103,-8227761,2
89,-3760531,-3842207,-5088221,-4163591,-3026264,-6362930,-6013741,-8279727,2
90,-3752881,552639,-4925626,447869,781906,-4100336,-3892127,-8339249,2
91,-3762287,-1407344,-4906849,-1141773,-1723321,-3199451,-3400079,-8352289,2
92,-3788364,-7490157,-5095574,-7245964,-7790153,-5057296,-5547123,-8284084,2
93,-3784432,-8388608,-5230097,-8388608,-8383669,-7348542,-7472869,-8227829,2
94,-3759411,-3833856,-5087619,-4155193,-3018411,-6360196,-6013860,-8280162,2
95,-3751843,553120,-4925208,448779,781156,-4098586,-3893813,-8339711,2
96,-3787189,-7501179,-5095775,-7258226,-7800305,-5065619,-5555682,-8283942,2
97,-3783046,-8388608,-5229639,-8388608,-8378267,-7352601,-7475366,-8227780,2
98,-3758170,-3824093,-5086871,-4146267,-3008937,-6357704,-6010992,-8280463,2
99,-3750731,552811,-4924726,448688,780289,-4096499,-3891482,-8340079,2
100,-3760156,-1434831,-4906660,-1168159,-1752517,-3203822,-3408190,-8352721,2
