,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3418699,-1596199,-4384819,-1391114,-1831442,-2909728,-3049474,-7837010,2
1,-3477034,-6981355,-4554112,-6726846,-7347384,-4253839,-4677285,-7841529,2
2,-3483574,-8302429,-4670831,-8354791,-8050224,-6018114,-6180057,-7808723,2
3,-3425251,-3627441,-4535384,-3837491,-2895069,-5315352,-5049373,-7792486,2
4,-3399287,-30667,-4393366,-100444,262284,-3615817,-3426830,-7807946,2
5,-3419936,-1601211,-4384524,-1396481,-1836162,-2909036,-3049059,-7836907,2
6,-3478332,-6985449,-4553938,-6731133,-7350946,-4254762,-4678497,-7841360,2
7,-3485010,-8297143,-4670427,-8350069,-8043971,-6016244,-6178352,-7808885,2
8,-3426738,-3614737,-4534789,-3825522,-2881336,-5310656,-5043201,-7792889,2
9,-3400709,-26869,-4392926,-96045,265273,-3613261,-3422581,-7808207,2
10,-3421278,-1609052,-4384314,-1403674,-1844681,-2909921,-3048336,-7836888,2
11,-3479660,-6990684,-4553798,-6736607,-7355805,-4257376,-4677625,-7841202,2
12,-3486244,-8291861,-4669837,-8345034,-8037468,-6014989,-6173066,-7808848,2
13,-3428011,-3601986,-4533978,-3812332,-2867987,-5304688,-5036584,-7793098,2
14,-3402122,-21966,-4392484,-90169,268499,-3608305,-3418987,-7808441,2
15,-3422678,-1616055,-4384155,-1410025,-1851948,-2908897,-3048097,-7836942,2
16,-3481009,-6995507,-4553667,-6741367,-7360447,-4258206,-4678782,-7841072,2
17,-3487801,-8286624,-4669570,-8340254,-8031263,-6012649,-6171049,-7809107,2
18,-3429651,-3590751,-4533577,-3801787,-2856187,-5299048,-5032041,-7793631,2
19,-3403569,-17907,-4392047,-86084,271498,-3603306,-3415818,-7808746,2
20,-3424111,-1622841,-4383986,-1416635,-1858694,-2907229,-3048193,-7837070,2
21,-3482517,-6999587,-4553626,-6745661,-7363933,-4258966,-4679345,-7841164,2
22,-3489266,-8282014,-4669151,-8335882,-8025565,-6010846,-6167747,-7809316,2
23,-3431005,-3580957,-4532862,-3791856,-2846245,-5293814,-5026550,-7793907,2
24,-3404865,-15009,-4391477,-82492,273051,-3598922,-3412284,-7808924,2
25,-3425381,-1627916,-4383611,-1421186,-1863871,-2905635,-3046924,-7837086,2
26,-3490285,-8278774,-4668404,-8332981,-8021875,-6008343,-6163374,-7808988,2
27,-3432197,-3571214,-4532094,-3782283,-2836611,-5288685,-5021379,-7793966,2
28,-3406132,-8577,-4390806,-75334,276868,-3594050,-3407964,-7809080,2
29,-3426714,-1630071,-4383181,-1423382,-1866313,-2903295,-3045313,-7837193,2
30,-3484964,-7006069,-4552895,-6751902,-7369911,-4258463,-4678354,-7840736,2
31,-3491570,-8274969,-4667897,-8329444,-8017202,-6006171,-6161639,-7808905,2
32,-3433579,-3561696,-4531466,-3773305,-2826742,-5284459,-5017283,-7794208,2
33,-3407731,-3824,-4390441,-70166,279567,-3590439,-3404887,-7809600,2
34,-3428207,-1632296,-4382877,-1423935,-1870347,-2901395,-3044169,-7837486,2
35,-3486206,-7008651,-4552481,-6754565,-7372761,-4257920,-4678132,-7840574,2
36,-3492754,-8271924,-4667281,-8326436,-8013641,-6004399,-6159162,-7808724,2
37,-3434837,-3554693,-4530762,-3765628,-2819977,-5281168,-5013459,-7794316,2
38,-3408875,1048,-4389631,-64917,282960,-3586955,-3401269,-7809662,2
39,-3429357,-1631867,-4382187,-1424446,-1869696,-2899073,-3041623,-7837475,2
40,-3487343,-7011004,-4551946,-6757132,-7374943,-4256912,-4676363,-7840326,2
41,-3493869,-8268920,-4666619,-8323629,-8009772,-6001785,-6155917,-7808487,2
42,-3436162,-3546474,-4530101,-3757568,-2812016,-5276669,-5009503,-7794494,2
43,-3410397,6175,-4389152,-59416,285529,-3582775,-3398168,-7810130,2
44,-3430937,-1632355,-4381871,-1423856,-1871593,-2896456,-3039727,-7837915,2
45,-3488797,-7013430,-4551682,-6759532,-7377484,-4256341,-4675657,-7840410,2
46,-3495193,-8266294,-4666138,-8321255,-8006680,-5999475,-6153751,-7808433,2
47,-3437427,-3540562,-4529414,-3752029,-2806324,-5272391,-5005194,-7794598,2
48,-3411762,9813,-4388578,-56204,288333,-3579271,-3394361,-7810430,2
49,-3432266,-1631354,-4381341,-1423633,-1870139,-2894239,-3037627,-7838104,2
50,-3496184,-8263441,-4665279,-8318737,-8003242,-5996767,-6150966,-7808099,2
51,-3438754,-3533962,-4528749,-3745666,-2799478,-5269274,-5001437,-7794792,2
52,-3413152,13620,-4387979,-51882,290783,-3577423,-3391398,-7810743,2
53,-3433573,-1632047,-4380767,-1423271,-1871927,-2893296,-3035437,-7838271,2
54,-3491179,-7017114,-4550572,-6762981,-7380880,-4254564,-4673522,-7840120,2
55,-3497486,-8260636,-4664703,-8315956,-7999972,-5994706,-6148290,-7808116,2
56,-3440012,-3527660,-4527996,-3739039,-2792960,-5265502,-4998341,-7794924,2
57,-3414437,16902,-4387326,-48401,293616,-3574203,-3389151,-7810945,2
58,-3434907,-1633350,-4380304,-1425166,-1873126,-2892089,-3034614,-7838404,2
59,-3492404,-7019646,-4550100,-6765661,-7383453,-4254494,-4673697,-7839989,2
60,-3498574,-8257425,-4663919,-8313177,-7996189,-5991654,-6146274,-7807944,2
61,-3441226,-3520283,-4527179,-3732472,-2785898,-5260264,-4994319,-7795065,2
62,-3415691,20135,-4386592,-44965,295268,-3569622,-3386038,-7811132,2
63,-3436148,-1636934,-4379722,-1427777,-1877521,-2889781,-3033694,-7838468,2
64,-3493661,-7023987,-4549703,-6770042,-7387214,-4254658,-4673499,-7839884,2
